ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4654	34.7611182210395	29.1152746906604	26.6780596991746	22.9864216885476	17.4544871271935	14.075307479867	14.1253991358658	11.6752743987122	-0.206433377185128	0.49890604094794	0.798636414385656	normal_vs_underweight	FALSE
hsa-miR-4654-3p:Novel	4.70702930456495	6.68989941757704	4.52027454487387	6.84989769096172	4.55187101265955	4.65270846868853	3.09092789922039	4.05450814638016	0.331062138067092	0.22791928235655	0.585210737714556	normal_vs_underweight	FALSE
hsa-miR-4655-3p	1.80975253293881	3.50926662829924	3.31997858919334	60.672852609554	0.768093288015154	0.962165031612142	1.53173094380262	1.49803618417748	0.807038771104312	0.092025000129259	0.400105034450205	normal_vs_underweight	FALSE
hsa-miR-4655-5p	31.9201360149274	31.5432565806504	22.3071763917649	25.1165742383221	15.7718958192299	18.3880504121893	14.8551778538286	13.6153835104846	0.268405112698073	0.375141104486714	0.716175553937773	normal_vs_underweight	FALSE
hsa-miR-4656	2.84283617589388	3.77534882554787	3.27780890532175	3.48816495770699	2.19425165929844	2.28953574439598	1.79649705889921	1.86556249711602	0.306527491097655	0.382319400466333	0.716706882197363	normal_vs_underweight	FALSE
hsa-miR-4656-3p:Novel	9.2366348933238	10.1914829521352	7.73832446930045	5.93779709813091	5.45950239896418	6.95522058830909	6.16110833184346	4.06645077167487	0.331963484389538	0.228609106777277	0.585210737714556	normal_vs_underweight	FALSE
hsa-miR-4657	0.536877659878223	0.799413600337775	0.313005467552602	0.287514236638718	0	0	0	0	0.20866397089216	0.665337940339167	NA	normal_vs_underweight	NA
hsa-miR-4657-3p:Novel	2.80701228533635	1.17344900900985	0.547703750534498	0.598160713517285	0	0	0	0	0.212822472780814	0.688932913683392	NA	normal_vs_underweight	NA
hsa-miR-4658	11.3688965251139	12.3221409332681	15.4003389347305	20.0252505857465	5.2387828259997	5.88205960805164	6.99198922548551	5.17603075323992	-0.0355348336989708	0.922487589813692	0.977893671953426	normal_vs_underweight	FALSE
hsa-miR-4658-5p:Novel	9.34878058249692	5.17656879824477	4.54048641927822	2.89810169519913	0.884589864208882	1.87545481897323	1.34965308963995	0	-0.533942983559866	0.107802819498665	0.428101581278352	normal_vs_underweight	FALSE
hsa-miR-4659a-3p	0.152339513334839	0.353230996112398	0.263834661036678	0.31860520313575	0	0	0	0	0.124174662289862	0.879914878734165	NA	normal_vs_underweight	NA
hsa-miR-4659a-5p	2.3138550767885	3.13379597477529	3.90859405475657	2.71769866837365	1.53618657603031	1.8449988689648	1.93248786362137	1.04784050323164	-0.0568956439627919	0.880717064675793	0.966869079508513	normal_vs_underweight	FALSE
hsa-miR-4659b-3p	0.274116604568258	0.408611765412487	0.283926420993692	0.207798387999282	0	0	0	0	-0.202122137144715	0.782321201199765	NA	normal_vs_underweight	NA
hsa-miR-4659b-5p	2.53487406865455	92.8408985598261	16.2938958700011	39.9370837032855	0.791596914607175	3.37011345938672	2.13019217321146	7.56316450847816	3.61616210563955	5.42738339848958e-08	3.7195930571547e-05	normal_vs_underweight	TRUE
hsa-miR-466	0.451235151968589	1.96380572856692	0.646365486455356	1.31420030597153	0	0	0	0	0.929202999007806	0.189934728422071	NA	normal_vs_underweight	NA
hsa-miR-466-5p:Novel	0.183131332696239	0.444039062557761	0.444554994107678	0.198342032927042	0	0	0	0	0.1036651841548	0.859974340212839	NA	normal_vs_underweight	NA
hsa-miR-4660	8.73323115958483	2.78852743324977	2.29498809586061	2.64370580768927	2.21147466052221	1.95749582191228	1.76399960529566	0.80898330632204	-0.8530704949157	0.00339849491407157	0.080665425259285	normal_vs_underweight	FALSE
hsa-miR-4660-3p:Novel	7.62117372917974	26.6084813712777	9.9872747116561	12.4657098013306	3.7155334939958	4.13550640142668	4.39536795550567	2.73095072739779	1.17572513877201	0.0193758928930766	0.194015211818537	normal_vs_underweight	FALSE
hsa-miR-4661-3p	0.438444276233837	0.432942029726948	0.372314379009406	1.02838175741554	0	0	0	0	-0.288962906664428	0.605697027879683	NA	normal_vs_underweight	NA
hsa-miR-4661-5p	1.15506971501297	0.784270844935792	0.771638717449501	0.872079509811018	0	0.231899013919838	0	0	-0.547205110651015	0.204709562288852	NA	normal_vs_underweight	NA
hsa-miR-4662a-3p	0.662377225331633	0.43321977277258	0.35428406406433	0.394268030703555	0	0	0	0	-0.324608042774912	0.586919136761991	NA	normal_vs_underweight	NA
hsa-miR-4662a-5p	0.186459754581128	0.249025000078767	0.288135747518181	0.574883158875194	0	0	0	0	-0.443336138489689	0.669115123399216	NA	normal_vs_underweight	NA
hsa-miR-4662b	0.370053339958522	0.40409315170106	0.533803365114015	0.296720820778312	0	0	0	0	-0.138101239274058	0.823465328578064	NA	normal_vs_underweight	NA
hsa-miR-4662b-5p:Novel	0.441919836572785	0.771674070022981	0.956423346693855	1.68499244763091	0	0	0.185612878249042	0.197478191736218	-0.204825810722552	0.666445682211739	NA	normal_vs_underweight	NA
hsa-miR-4663	5.78226040395379	4.40890083437694	2.36523542185546	3.0182044010634	2.64470975299889	2.1469995388489	1.7855780063487	1.71046034238367	-0.122032233162149	0.739493691856363	0.915500283982848	normal_vs_underweight	FALSE
hsa-miR-4663-3p:Novel	4.45571406975499	4.69411790856771	4.18616636979925	3.46840024857421	1.76313983533259	2.8847575802812	1.89681520788358	2.01469517281927	0.387786799132463	0.275669567359582	0.623265088586889	normal_vs_underweight	FALSE
hsa-miR-4664-3p	22.2852467210877	12.4170753701988	17.3653114431435	15.1299916010533	7.85817423899955	3.91869811822192	7.44920016067225	1.87566044955831	-0.862374614757311	0.0498365447254413	0.305378234000107	normal_vs_underweight	FALSE
hsa-miR-4664-5p	2.09570121443205	1.8708431200465	1.16018652372022	2.00021916331025	0.825674109776845	0.778442392039775	0.602884670205638	1.72534358441331	-0.397164767085722	0.327484649612127	NA	normal_vs_underweight	NA
hsa-miR-4665-3p	0.543294575301575	1.05323016050646	1.25260154165457	0.83801241286805	0	0.125821573075887	0	0	0.308504774648289	0.521613650440524	NA	normal_vs_underweight	NA
hsa-miR-4665-5p	7.29984464995588	8.17117336685997	8.17945577151694	9.09184114165576	5.36688171354949	5.60824797719889	4.30863073217805	6.04122424463788	0.192893970219522	0.488112915854367	0.789620051098791	normal_vs_underweight	FALSE
hsa-miR-4666a-3p	0.671378296886581	3.06517213614966	1.14098611624581	1.19451761327399	0.201853680220157	0	0	0	-0.323608874499253	0.57835848037189	NA	normal_vs_underweight	NA
hsa-miR-4666a-5p	13.4600875881916	29.6813150658485	22.8453817560054	32.1805397660576	1.65134821955369	11.7721783275412	10.1813423420313	8.56032456752124	0.788052754943553	0.0969503605109562	0.405131996195432	normal_vs_underweight	FALSE
hsa-miR-4666b	0.203204769865269	0.852275385413758	0.810245401224169	0.862643693773951	0	0	0.153619439906119	0	0.654545285300623	0.198597620587522	NA	normal_vs_underweight	NA
hsa-miR-4666b-3p:Novel	4.85587458350485	9.2967280187959	6.57615508367171	25.9568529637343	2.14650177679158	4.92882040112335	4.50998743232744	4.66838773081624	0.769948634794616	0.0321382674725642	0.253093655077314	normal_vs_underweight	FALSE
hsa-miR-4667-3p	8.57562292342954	5.03814351211884	6.49419290386456	5.95941620839782	2.61939141299985	1.898245710888	2.60054802254984	0.394956383472435	-1.20971235421458	0.00723411950276811	0.113170127069819	normal_vs_underweight	FALSE
hsa-miR-4667-5p	17.5504271944738	28.515996964601	16.5603004410928	9.61559150397128	3.09606452473109	5.82817856554452	4.34677224015762	3.23457343541272	1.00636952500035	0.0114741617238188	0.14449281533708	normal_vs_underweight	FALSE
hsa-miR-4668-3p	0.107408442601867	0.137289320239313	0.224719880075703	0.105887117924895	0	0	0	0	-0.387169834916128	0.774497007413432	NA	normal_vs_underweight	NA
hsa-miR-4668-5p	2.2879103375087	1.60508509044975	1.65605626874981	1.89703769484335	0.825674109776845	0.655849552476078	0.451890859411685	0.880986107906834	-0.117390690279253	0.77973167650194	NA	normal_vs_underweight	NA
hsa-miR-4669	5.79606159209281	2.99711075476957	3.04213125230003	3.93519488071131	1.81668312198141	1.96528657014949	1.6072411213681	2.54524999573321	-0.472824809484354	0.16305010568243	0.503286200649054	normal_vs_underweight	FALSE
