ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no_coffee.x	light_drinker.x	heavy_drinker.x	no_coffee.y	light_drinker.y	heavy_drinker.y
hsa-miR-6124-3p:Novel	94.186065805724	0.0344067335038753	0.145857593505746	0.23589264485239	0.813515975775736	0.937657502908999	heavy_drinker_vs_light_drinker	FALSE	103.598	97.272	87.59	80.385	61.921	66.46
hsa-miR-6125	71.8216848551919	0.15278517137099	0.245314429118041	0.622813635220261	0.533406996987231	0.807211894279659	heavy_drinker_vs_light_drinker	FALSE	72.62	78.614	68.144	40.012	30.211	35.76
hsa-miR-6125-5p:Novel	22.2148750196363	0.358173626170156	0.161797808589715	2.21371123188947	0.0268486497933543	0.297421830353324	heavy_drinker_vs_light_drinker	FALSE	29.656	20.789	21.357	18.37	13.254	13.779
hsa-miR-6126	8.72820630979292	0.335491712225658	0.270731631810553	1.23920396734587	0.215269971709262	0.580126585673387	heavy_drinker_vs_light_drinker	FALSE	10.631	6.469	11.348	4.422	2.633	3.46
hsa-miR-6126-3p:Novel	22.1883763834495	0.0200858022430467	0.182164084717327	0.11026214236585	0.912201480162586	0.973443711171528	heavy_drinker_vs_light_drinker	FALSE	24.769	20.723	20.097	15.849	14.204	14.264
hsa-miR-6127	66.4030783813956	-0.131999364112575	0.194168802190306	-0.67981757431455	0.496619977427629	0.790684382673958	heavy_drinker_vs_light_drinker	FALSE	69.639	92.756	44.501	42.655	35.804	26.095
hsa-miR-6127-3p:Novel	40.1993111232585	0.0947334639166113	0.234837646247798	0.403399818684308	0.686654120118656	0.886429286538811	heavy_drinker_vs_light_drinker	FALSE	56.001	37.312	33.08	24.757	16.139	16.784
hsa-miR-6128	1.28773691687117	-0.161843877404244	0.351428273477232	-0.460531748919539	0.6451345881461	NA	heavy_drinker_vs_light_drinker	NA	1.291	1.283	1.249	0.438	0.172	0.521
hsa-miR-6128-5p:Novel	1.03834024865127	-0.151595652867739	0.33356057127744	-0.454477135253642	0.649485445215715	NA	heavy_drinker_vs_light_drinker	NA	1.35	0.784	1.084	0.447	0.305	0.041
hsa-miR-6129	9.71193651446614	-0.244768086328134	0.213354446122878	-1.14723686698877	0.251283738493219	0.619429437450235	heavy_drinker_vs_light_drinker	FALSE	14.258	8.441	7.531	7.265	5.872	5.449
hsa-miR-6129-3p:Novel	4.76891877931621	-0.169411294483461	0.231210324274503	-0.732715093995234	0.463732215953444	0.771529540428414	heavy_drinker_vs_light_drinker	FALSE	6.086	4.838	4.319	3.629	2.809	2.689
hsa-miR-613	2.14888746411124	-0.277070503407887	0.366397042392572	-0.756202892901691	0.449527558582028	0.761591927760379	heavy_drinker_vs_light_drinker	FALSE	2.847	2.131	1.884	0.949	0.763	0.305
hsa-miR-613-5p:Novel	1.77454765416841	-0.318983102167541	0.243272549838326	-1.3112169966547	0.189784461614547	0.550555195294303	heavy_drinker_vs_light_drinker	FALSE	2.024	1.856	1.372	1.217	1.531	0.851
hsa-miR-6130	30.950738991445	-0.354955471222508	0.210856317408327	-1.68339974626006	0.0922977323597951	0.433685264740113	heavy_drinker_vs_light_drinker	FALSE	30.903	40.47	26.943	15.039	21.595	21.95
hsa-miR-6130-5p:Novel	5.82725761568926	-0.271071115579825	0.263500227325575	-1.02873199894775	0.30360562888592	0.66673752257405	heavy_drinker_vs_light_drinker	FALSE	8.809	5.337	4.232	2.823	2.474	2.392
hsa-miR-6131	21.9135214415382	-0.279622440188293	0.235676599643672	-1.18646671163392	0.23543803995867	0.606465698110404	heavy_drinker_vs_light_drinker	FALSE	17.932	24.795	20.328	11.413	14.682	12.019
hsa-miR-6131-5p:Novel	90.8471880533673	-0.530802080124163	0.262695075882153	-2.02060155997094	0.0433210273319011	0.333166749768362	heavy_drinker_vs_light_drinker	FALSE	231.155	58.144	27.089	17.293	19.532	14.283
hsa-miR-6132	14.0420164297668	-0.340007568531686	0.202984468668786	-1.67504228654303	0.0939259351955327	0.434587273183251	heavy_drinker_vs_light_drinker	FALSE	16.779	14.346	12.344	10.328	10.558	5.853
hsa-miR-6132-3p:Novel	5.05442072053768	-0.411628985475096	0.282267243896229	-1.4582952658383	0.144759174575433	0.497041510936914	heavy_drinker_vs_light_drinker	FALSE	4.713	5.908	5.177	2.466	2.993	1.939
hsa-miR-6133	2.76955215933576	-0.247928601358993	0.256686489365738	-0.965880993470338	0.334103734024282	0.6863107294494	heavy_drinker_vs_light_drinker	FALSE	3.535	2.483	2.29	2.411	1.65	1.454
hsa-miR-6133-5p:Novel	8.79862318494674	-0.17140007942625	0.189634760391143	-0.903843151291033	0.366078576923379	0.706217585668388	heavy_drinker_vs_light_drinker	FALSE	11.415	8.505	7.241	8.377	6.503	5.608
hsa-miR-6134	7.0847826937003	-0.051006287744759	0.244042686996174	-0.209005598047519	0.834443868518653	0.94956824778859	heavy_drinker_vs_light_drinker	FALSE	10.433	4.814	5.056	5.411	3.327	3.313
hsa-miR-6134-5p:Novel	3.29238480863239	-0.04314129607147	0.25560983271865	-0.168777920679427	0.865971325904906	0.962668656287481	heavy_drinker_vs_light_drinker	FALSE	4.004	3.106	3.11	2.671	1.943	1.642
hsa-miR-614	1.58991611507094	-0.131187981951779	0.319130284265888	-0.411079701362589	0.681014093658005	0.885111326590161	heavy_drinker_vs_light_drinker	FALSE	2.192	1.316	1.355	0.899	0.913	0.455
hsa-miR-614-5p:Novel	1.13358845379694	-0.756612831496616	0.298132665214642	-2.53783942444511	0.0111539148643602	NA	heavy_drinker_vs_light_drinker	NA	1.814	1.146	0.644	0.678	0.708	0.184
hsa-miR-615-3p	6.07316445248869	-0.213143549237726	0.345457307803445	-0.616989551018556	0.537241617794434	0.808285562296726	heavy_drinker_vs_light_drinker	FALSE	4.848	6.197	6.604	2.064	2.035	2.502
hsa-miR-615-5p	34.6309206334771	0.555930793025593	0.352432166853667	1.57741218115434	0.114700714395069	0.462005053578657	heavy_drinker_vs_light_drinker	FALSE	45.707	38.367	27.876	7.946	3.457	4.237
hsa-miR-616-3p	4.54449484333882	0.0439517511169159	0.230512224130712	0.190669936410804	0.848784193807306	0.95656314120743	heavy_drinker_vs_light_drinker	FALSE	4.51	4.309	4.711	3.127	3.205	2.694
hsa-miR-616-5p	0.336615876830481	-0.25934836173186	0.612580284096234	-0.423370402974179	0.672025035417142	NA	heavy_drinker_vs_light_drinker	NA	0.235	0.352	0.377	0	0	0
hsa-miR-6165	5.71004752770919	0.00527262118419748	0.218309842152995	0.0241520085956653	0.980731358543128	0.996839516027354	heavy_drinker_vs_light_drinker	FALSE	7.052	5.298	4.854	4.339	3.099	3.334
hsa-miR-6165-3p:Novel	24.5647493577275	-0.176077432371949	0.179620834344344	-0.980272878781967	0.326951438519693	0.683321914701219	heavy_drinker_vs_light_drinker	FALSE	23.511	27.018	23.787	15.004	21.928	18.03
hsa-miR-617	8.25407491726818	-0.56421996306045	0.323701918429653	-1.74302322889404	0.0813295573433847	0.413022787648828	heavy_drinker_vs_light_drinker	FALSE	13.068	7.47	2.419	2.511	2.038	1.4
hsa-miR-617-3p:Novel	30.6632927647353	-0.0947253470596829	0.237383308934736	-0.399039627026709	0.689864005931834	0.888455695312844	heavy_drinker_vs_light_drinker	FALSE	30.072	32.23	28.728	17.896	15.625	16.316
hsa-miR-618	0.981008989185631	-0.518375672256772	0.327825538860232	-1.58125469436895	0.113819814117416	NA	heavy_drinker_vs_light_drinker	NA	0.963	1.049	0.912	0.262	0.391	0.223
hsa-miR-618-3p:Novel	5.55971949907722	-0.816769069725426	0.240228463046716	-3.39996792789118	0.000673937575397872	0.0711662254480387	heavy_drinker_vs_light_drinker	FALSE	7.028	5.444	4.44	3.212	3.545	2.999
hsa-miR-619-3p	1.23852733663723	-0.236947069412387	0.547963349253765	-0.432414083414646	0.665440484088627	NA	heavy_drinker_vs_light_drinker	NA	1.297	1.552	1.103	0	0	0
hsa-miR-619-5p	3.3362000045142	-0.101362740826025	0.306222689952925	-0.331009896234688	0.740637010426908	0.907944847057467	heavy_drinker_vs_light_drinker	FALSE	5.245	2.827	2.929	1.088	1.564	1.148
hsa-miR-620	0.348943558866818	-0.730131524569807	0.635542985553962	-1.14883106440613	0.250625647381234	NA	heavy_drinker_vs_light_drinker	NA	0.496	0.396	0.159	0	0	0
hsa-miR-620-5p:Novel	1.70109734911451	0.716660475422234	0.446563848142951	1.60483316865547	0.108530524372598	0.457027848862009	heavy_drinker_vs_light_drinker	FALSE	2.469	0.649	1.558	0	0	0
hsa-miR-621	8.11692101088019	0.0961265605332307	0.245218339799397	0.39200396108981	0.695055287044977	0.890592747594361	heavy_drinker_vs_light_drinker	FALSE	12.533	6.293	6.808	5.549	4.04	3.628
hsa-miR-621-5p:Novel	2.32854881426623	-0.31734823974135	0.32848554096846	-0.966095003164295	0.333996644672043	0.6863107294494	heavy_drinker_vs_light_drinker	FALSE	2.713	2.26	1.762	1.261	0.719	0.692
hsa-miR-622	47.6231733964898	-0.210524691009356	0.269377872078477	-0.781521842848414	0.434495634954401	0.757995914054524	heavy_drinker_vs_light_drinker	FALSE	139.702	16.769	17.082	13.858	9.605	7.406
hsa-miR-622-5p:Novel	6.7546546457781	-0.151241380447752	0.195906107725488	-0.772009521314554	0.440108788277649	0.75899683744933	heavy_drinker_vs_light_drinker	FALSE	7.303	7.002	6.602	5.653	5.405	4.474
hsa-miR-623	7.06190382893145	0.0439306660204196	0.249641842692913	0.175974770681609	0.860313763201551	0.960665245668921	heavy_drinker_vs_light_drinker	FALSE	10.8	5.339	5.122	4.564	3.243	2.611
hsa-miR-623-3p:Novel	4.63816106874858	-0.108943992119261	0.255098485169431	-0.427066401617019	0.669330963904354	0.881175862578516	heavy_drinker_vs_light_drinker	FALSE	5.282	4.518	4.182	2.901	2.752	2.239
hsa-miR-624-3p	0.277585685009666	0.0918563122610301	0.681704832926968	0.134744992002823	0.892813499073017	NA	heavy_drinker_vs_light_drinker	NA	0.251	0.222	0.346	0	0	0
