miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-6745-5p:Novel	-0.2115	0.0227	0.343862962962963	-0.187	0.0444	0.710813793103448	0.2324
hsa-miR-6756-5p	0.0086	0.927	0.981495128205128	-0.039	0.6775	0.899535275080906	0.1453
hsa-miR-6757-5p	0.0603	0.5205	0.838127952755905	0.1792	0.0542	0.738926666666667	0.1818
hsa-miR-6758-5p	0.0181	0.8467	0.981495128205128	-0.0631	0.501	0.864694166666667	0.1506
hsa-miR-6760-5p	-0.2047	0.0275	0.362822580645161	-0.1596	0.0871	0.75457536231884	0.2105
hsa-miR-6768-5p	-0.0552	0.5559	0.861223863636364	-0.0473	0.6141	0.890662765957447	0.1483
hsa-miR-6772-5p	0.0057	0.9515	0.982321158690176	-0.0388	0.6796	0.899535275080906	0.1461
hsa-miR-6773-5p	8e-04	0.9932	0.99808058968059	-0.0214	0.8194	0.93178446866485	0.1363
hsa-miR-6777-5p	0.0244	0.795	0.972860683760684	0.0522	0.5781	0.878969888475836	0.1472
hsa-miR-6778-5p	0.0597	0.5247	0.841577647058824	0.1169	0.2115	0.808443925233645	0.169
hsa-miR-6787-5p	-0.0852	0.3633	0.73925223880597	-0.0194	0.8361	0.93178446866485	0.1457
hsa-miR-6788-3p	0.0811	0.3866	0.763728846153846	0.1566	0.0932	0.75457536231884	0.1645
hsa-miR-6790-5p	-0.0077	0.935	0.981495128205128	-0.0581	0.5354	0.869589772727273	0.1396
hsa-miR-6802-5p	-0.2031	0.0288	0.3681	-0.1496	0.109	0.75457536231884	0.2255
hsa-miR-6805-5p	-0.0992	0.2894	0.674617613636364	-0.1364	0.1444	0.784441025641026	0.1875
hsa-miR-6829-5p	0.1231	0.1879	0.656834523809524	0.1731	0.0631	0.75457536231884	0.2014
hsa-miR-6832-5p	0.0131	0.8887	0.981495128205128	-0.0412	0.6609	0.899535275080906	0.1579
hsa-miR-6838-5p	-0.1537	0.0994	0.52121282051282	-0.0655	0.4847	0.864694166666667	0.1826
hsa-miR-6849-5p	-0.1203	0.1983	0.656834523809524	-0.0601	0.5218	0.869589772727273	0.1517
hsa-miR-6867-5p	-0.0293	0.7551	0.962105607476636	-0.0779	0.4061	0.825865384615385	0.1396
hsa-miR-6869-5p	-0.1432	0.125	0.567656043956044	-0.1713	0.0659	0.75457536231884	0.2066
hsa-miR-6871-3p	0.0141	0.8807	0.981495128205128	0.1116	0.2329	0.810624590163934	0.1404
hsa-miR-6871-5p	0.0328	0.727	0.956851592356688	0.0745	0.4266	0.826916587677725	0.131
hsa-miR-6874-5p	0.0305	0.7452	0.958906269592476	-0.0234	0.8031	0.93178446866485	0.127
hsa-miR-6879-5p	-0.3291	3e-04	0.08998	-0.2553	0.0057	0.3681	0.3075
hsa-miR-6880-5p	-0.0909	0.3317	0.699473469387755	-0.1062	0.2566	0.812772180451128	0.1751
hsa-miR-6884-5p	-0.0645	0.4913	0.823277419354839	0.0591	0.5287	0.869589772727273	0.153
hsa-miR-6895-3p	0.0242	0.7966	0.972860683760684	0.0636	0.4973	0.864694166666667	0.1139
hsa-miR-7108-5p	0.1598	0.0865	0.51545205479452	0.1325	0.1562	0.787940963855422	0.1755
hsa-miR-711	-0.1215	0.1937	0.656834523809524	-0.1472	0.1147	0.75457536231884	0.1827
hsa-miR-7113-5p	-0.0778	0.4062	0.77407037037037	-0.0566	0.5463	0.869589772727273	0.1388
hsa-miR-7161-3p	0.1045	0.2645	0.656834523809524	0.0551	0.5568	0.869589772727273	0.1641
hsa-miR-718	0.032	0.7327	0.956851592356688	0.041	0.6622	0.899535275080906	0.1693
hsa-miR-7515-5p:Novel	-0.0117	0.901	0.981495128205128	0.0643	0.4931	0.864694166666667	0.1546
hsa-miR-760	-0.1078	0.2494	0.656834523809524	0.0058	0.9504	0.984913417721519	0.1745
hsa-miR-765-5p:Novel	0.1113	0.2342	0.656834523809524	0.1499	0.1083	0.75457536231884	0.1703
hsa-miR-770-3p:Novel	0.1245	0.183	0.656834523809524	0.0761	0.417	0.825865384615385	0.1484
hsa-miR-7704-3p:Novel	0.0409	0.6631	0.934256849315068	0.094	0.3156	0.822826708074534	0.1587
hsa-miR-7844-3p:Novel	-0.0611	0.515	0.835853174603175	0.0817	0.3833	0.825865384615385	0.1758
hsa-miR-7845-3p:Novel	-0.2652	0.004	0.233714285714286	-0.1492	0.1099	0.75457536231884	0.2574
hsa-miR-7847-5p:Novel	-0.0895	0.3392	0.704227411167513	-0.1321	0.1574	0.787940963855422	0.1735
hsa-miR-7851-3p	0.1871	0.0444	0.432371428571429	0.0306	0.7441	0.93178446866485	0.1875
hsa-miR-7851-5p:Novel	0.1241	0.1845	0.656834523809524	0.0398	0.6713	0.899535275080906	0.1629
hsa-miR-8053	-0.1884	0.0429	0.432371428571429	-0.1119	0.2318	0.810624590163934	0.2065
hsa-miR-8057-3p:Novel	-0.1439	0.1232	0.567656043956044	-0.1229	0.1888	0.79899595959596	0.1743
hsa-miR-8072	0.0408	0.6637	0.934256849315068	0.0698	0.4567	0.8589	0.1534
hsa-miR-8072-3p:Novel	-0.0164	0.8616	0.981495128205128	0.0161	0.8636	0.947152139037433	0.1549
hsa-miR-8074	-0.2222	0.0165	0.3323125	-0.2782	0.0025	0.3681	0.2931
hsa-miR-8077	0.064	0.4951	0.823277419354839	0.0482	0.6073	0.890271326164874	0.1688
hsa-miR-8079-3p:Novel	-0.0434	0.6434	0.934256849315068	-0.0569	0.544	0.869589772727273	0.1533
hsa-miR-8080	-0.0339	0.7182	0.956851592356688	-0.0251	0.7889	0.93178446866485	0.1412
