miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4489-3p:Novel	-0.0339	0.6229	0.892687125748503	-0.1101	0.1092	0.701538461538462	0.1235
hsa-miR-4492-5p:Novel	0.0259	0.7076	0.915630081300813	0.0442	0.5211	0.809052287581699	0.0995
hsa-miR-4494	0.087	0.2061	0.631596774193548	0.1193	0.0823	0.701538461538462	0.1386
hsa-miR-4497	-0.0843	0.2204	0.642269938650307	-0.0311	0.6517	0.879424715909091	0.12
hsa-miR-4497-3p:Novel	4e-04	0.9959	0.9987	-0.0522	0.4484	0.794738805970149	0.1236
hsa-miR-4504	-0.1513	0.0273	0.418306451612903	-0.1494	0.0293	0.662738095238095	0.1568
hsa-miR-4505	0.1382	0.0439	0.430408163265306	-0.0677	0.3255	0.748690476190476	0.1558
hsa-miR-4505-3p:Novel	0.1227	0.0739	0.494401408450704	0.075	0.2758	0.7184375	0.1367
hsa-miR-4506	0.0605	0.3793	0.794735682819383	0.0072	0.9173	0.957934065934066	0.1208
hsa-miR-4508-3p:Novel	0.0378	0.583	0.884744408945687	0.0052	0.9399	0.972304347826087	0.1079
hsa-miR-4513	-0.0623	0.3659	0.78643665158371	-0.0832	0.2266	0.717566666666667	0.1159
hsa-miR-4513-3p:Novel	-0.0223	0.7459	0.942293882978723	0.0139	0.8402	0.930272621809745	0.0859
hsa-miR-4515	-0.0973	0.1572	0.600962962962963	-0.043	0.5322	0.812371794871795	0.1349
hsa-miR-4516-3p:Novel	0.0497	0.4705	0.824677121771218	0.0362	0.5992	0.854714714714715	0.0998
hsa-miR-4518	-0.1261	0.0663	0.482464285714286	-0.1452	0.0342	0.6688	0.1801
hsa-miR-4520-3p	0.056	0.4162	0.81859631147541	-0.0257	0.7097	0.891751824817518	0.1198
hsa-miR-4528-5p:Novel	0.0492	0.4747	0.825943223443223	0.0179	0.7945	0.903636363636364	0.0931
hsa-miR-4534	0.1146	0.0951	0.540247252747253	0.1424	0.0379	0.68787037037037	0.153
hsa-miR-4534-5p:Novel	-0.0415	0.5466	0.87714527027027	0.023	0.7386	0.891751824817518	0.1096
hsa-miR-4537-3p:Novel	-0.0111	0.8715	0.971742957746479	-0.0065	0.9245	0.960913566739606	0.0649
hsa-miR-4632-5p	-0.0319	0.6434	0.9016642228739	-0.1066	0.1208	0.701538461538462	0.1287
hsa-miR-4634	0.0631	0.3591	0.783534090909091	0.0757	0.2715	0.7184375	0.1053
