miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4518	-0.071	0.3079	0.969370567375887	-0.0568	0.4152	0.811604938271605	0.1327
hsa-miR-4520-3p	0.1613	0.0199	0.698928571428571	0.0224	0.7476	0.937390463917526	0.172
hsa-miR-4528-5p:Novel	0.0275	0.6932	0.97922181372549	0.0246	0.7241	0.922111260053619	0.1043
hsa-miR-4534	0.0309	0.6573	0.97922181372549	0.1668	0.0161	0.461029411764706	0.1729
hsa-miR-4534-5p:Novel	-0.0225	0.7473	0.97922181372549	-0.047	0.5003	0.859271582733813	0.0893
hsa-miR-4537-3p:Novel	0.0416	0.551	0.969370567375887	0.0369	0.5966	0.899503154574132	0.088
hsa-miR-4632-5p	-0.0206	0.7677	0.97922181372549	-0.057	0.4138	0.811604938271605	0.0986
hsa-miR-4634	-0.0543	0.4359	0.969370567375887	-0.0915	0.1885	0.638465517241379	0.1123
hsa-miR-4651-3p:Novel	-0.0019	0.9788	0.996598101265823	0.0355	0.6106	0.899705882352941	0.1095
hsa-miR-4654	0.0554	0.4264	0.969370567375887	-0.044	0.5284	0.876276041666667	0.1205
hsa-miR-4655-5p	7e-04	0.9917	0.996598101265823	-0.0645	0.3547	0.762364253393665	0.1174
hsa-miR-4666a-5p	0.0035	0.96	0.995847826086956	0.054	0.4383	0.819655511811024	0.0981
hsa-miR-4672	-0.0336	0.6296	0.97922181372549	-0.0794	0.254	0.679329608938548	0.1355
hsa-miR-4674	-0.1041	0.1345	0.969370567375887	-0.0363	0.6027	0.899705882352941	0.1574
hsa-miR-4674-5p:Novel	-0.1002	0.1498	0.969370567375887	-0.1189	0.0872	0.60525390625	0.1511
hsa-miR-4675	0.0578	0.407	0.969370567375887	0.0738	0.2893	0.710051546391753	0.1207
hsa-miR-4682-3p:Novel	-0.0146	0.8344	0.97922181372549	0.0284	0.6836	0.916643258426966	0.132
hsa-miR-4683	0.0267	0.7021	0.97922181372549	0.0026	0.9702	0.98732869379015	0.1026
hsa-miR-4690-5p	-0.0713	0.306	0.969370567375887	-0.0834	0.2309	0.657035928143713	0.1398
hsa-miR-4693-3p	-0.037	0.5956	0.978927335640138	-0.0885	0.2037	0.640077160493827	0.1234
