miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4283	0.0859	0.3471	0.863525595238095	0.0316	0.7294	0.941087066246057	0.1493
hsa-miR-4283-3p:Novel	0.0435	0.6339	0.942782181818182	0.0882	0.3339	0.745655376344086	0.1198
hsa-miR-4284-3p:Novel	-0.112	0.2195	0.849161904761905	-0.1882	0.0379	0.369804166666667	0.1863
hsa-miR-4285-3p:Novel	0.0428	0.64	0.946625441696113	0.0087	0.9238	0.986109487179487	0.1441
hsa-miR-4286-3p:Novel	0.0453	0.6206	0.940094074074074	0.073	0.4245	0.799050917431193	0.1408
hsa-miR-4290	0.0593	0.5165	0.913433333333333	0.0734	0.4216	0.799050917431193	0.1399
hsa-miR-4290-5p:Novel	-0.0423	0.6435	0.946625441696113	-0.0769	0.4001	0.799050917431193	0.1605
hsa-miR-4302-3p:Novel	-0.1034	0.2572	0.849161904761905	-0.07	0.4438	0.811758232931727	0.1795
hsa-miR-4306-5p:Novel	0.2071	0.0221	0.5726	0.224	0.0131	0.281994736842105	0.2298
hsa-miR-4309	0.0342	0.7088	0.947783986928105	0.0947	0.2993	0.739830177514793	0.1499
hsa-miR-4309-3p:Novel	0.079	0.3872	0.877429281767956	0.107	0.2408	0.69243986013986	0.1572
hsa-miR-4311	0.0242	0.791	0.974274626865672	0.1637	0.0716	0.389289156626506	0.1695
hsa-miR-4311-3p:Novel	0.0098	0.9145	0.991420316622691	0.0225	0.806	0.967566862170088	0.1994
hsa-miR-4313	-0.1162	0.2023	0.849161904761905	-0.1301	0.1533	0.55981875	0.1608
hsa-miR-4313-3p:Novel	0.0269	0.7689	0.966168404907976	0.052	0.5697	0.860697802197802	0.1207
hsa-miR-4326	-0.1259	0.1672	0.84411686746988	-0.1341	0.1407	0.536161818181818	0.2054
hsa-miR-4326-5p:Novel	-0.0124	0.892	0.991420316622691	0.0722	0.4296	0.802312328767123	0.118
hsa-miR-4327-3p:Novel	-0.0078	0.9323	0.993529166666667	0.1915	0.0346	0.369804166666667	0.1983
hsa-miR-4330	0.0276	0.7631	0.966168404907976	-0.0495	0.5882	0.865373381294964	0.1301
hsa-miR-4418	0.1403	0.1231	0.826404109589041	0.1493	0.1007	0.447677173913044	0.1867
hsa-miR-4429-3p:Novel	0.0325	0.7225	0.950168810289389	0.064	0.4838	0.811758232931727	0.1291
hsa-miR-4431	0.161	0.0764	0.750742222222222	0.1067	0.2421	0.69243986013986	0.198
