miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-8072-3p:Novel	-0.1075	0.0533	0.249288541666667	-0.0601	0.2804	0.577521100917431	0.125
hsa-miR-8074	-0.1563	0.0048	0.0578973684210526	-0.0272	0.6255	0.818803206997084	0.1336
hsa-miR-8075-5p:Novel	-0.1606	0.0038	0.0550387096774194	-0.0661	0.2354	0.513080582524272	0.1202
hsa-miR-8077	-0.0384	0.4915	0.702150476190476	-0.0139	0.803	0.918564885496183	0.1273
hsa-miR-8079-3p:Novel	-0.0597	0.2837	0.524202880658436	-0.0313	0.5744	0.781532121212121	0.1096
hsa-miR-8080	-0.0568	0.3083	0.556110843373494	-0.0902	0.1051	0.397949315068493	0.1138
hsa-miR-8082-3p:Novel	0.0326	0.5586	0.757619879518072	0.0248	0.6565	0.839796296296296	0.09
hsa-miR-8083-3p:Novel	-0.027	0.6286	0.795046197183099	0.035	0.5305	0.761004792332268	0.0943
hsa-miR-8085	-0.0809	0.1462	0.38165	-0.0482	0.3871	0.678566536964981	0.1069
hsa-miR-8085-3p:Novel	-0.0106	0.8493	0.921100724637681	0.0458	0.4115	0.69595	0.0856
hsa-miR-8089	-0.0336	0.5468	0.74651367781155	-8e-04	0.9888	0.993512723214286	0.1158
hsa-miR-874-3p	-0.1158	0.0373	0.199911904761905	-0.0879	0.1145	0.397949315068493	0.1447
hsa-miR-885-3p	0.0671	0.2284	0.47258801843318	0.0278	0.6176	0.813203519061584	0.0878
hsa-miR-922	-0.0783	0.1598	0.400875138121547	-0.0437	0.4326	0.711492307692308	0.0914
hsa-miR-922-5p:Novel	0.0726	0.1924	0.434108542713568	0.0509	0.3611	0.664483196721311	0.1022
hsa-miR-92a-3p	-0.0125	0.8233	0.906033578431373	0.1187	0.0327	0.310558333333333	0.1341
hsa-miR-92b-5p	0.0442	0.4274	0.655264163822526	0.0078	0.8886	0.960966904761905	0.0792
hsa-miR-935	0.0093	0.8675	0.934070743405276	-0.0282	0.6125	0.809520588235294	0.0767
hsa-miR-935-5p:Novel	-0.0417	0.4545	0.677975083056478	-0.0873	0.1167	0.397949315068493	0.1061
hsa-miR-940	0.0539	0.3337	0.587573725490196	0.0996	0.0735	0.391203191489362	0.1136
hsa-miR-943-5p:Novel	0.1826	0.001	0.0329266666666667	0.1767	0.0014	0.0954125	0.1948
hsa-miR-944-5p:Novel	0.0664	0.2332	0.47594	0.1128	0.0425	0.337891525423729	0.1435
hsa-miR-9898	-0.075	0.1781	0.420878421052632	-0.0379	0.4967	0.748825657894737	0.1201
hsa-miR-9898-5p:Novel	-0.0787	0.1574	0.399280225988701	-0.0353	0.5272	0.761004792332268	0.1291
hsa-miR-9899-5p:Novel	-0.059	0.29	0.533647540983607	-0.0025	0.9637	0.982923981900452	0.1105
hsa-miR-9901	-0.004	0.9422	0.973004576659039	-0.0806	0.1479	0.414418633540373	0.1036
hsa-miR-9901-3p:Novel	-0.0994	0.0739	0.277753488372093	0.0041	0.941	0.979815473441108	0.1035
hsa-miR-9903	-0.0995	0.0737	0.277753488372093	-0.0582	0.2965	0.589064159292035	0.1276
hsa-miR-99b-3p	-0.0437	0.4334	0.659649491525424	-0.0567	0.3091	0.603416956521739	0.091
