ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
hsa-miR-4518	8.38518294804484	-0.106073165038605	0.188811467266576	-0.561794082606453	0.574256324245117	0.806193314348787	heavy_vs_light	FALSE	16.103	7.446	7.691	9.287	5.067	4.534
hsa-miR-4518-5p:Novel	3.60591161596712	-0.168395961889551	0.2286949324555	-0.736334470036048	0.461527173603842	0.745530703585405	heavy_vs_light	FALSE	3.666	3.36	3.846	1.14	1.226	0.945
hsa-miR-4519	34.8995990884883	-0.340535721411785	0.609482166353069	-0.55872959080892	0.576346281186134	0.807870000978854	heavy_vs_light	FALSE	20.827	31.346	44.877	0.456	0.683	0.413
hsa-miR-4519-3p:Novel	9.11574045155926	0.947128750364788	0.349816073807704	2.70750494697231	0.00677910604370079	0.138971673895866	heavy_vs_light	FALSE	4.224	10.153	8.008	1.597	1.71	1.963
hsa-miR-451a	0.542835943575417	0.0677269697931222	0.442551927445861	0.15303734001115	0.878368829035696	NA	heavy_vs_light	NA	1.341	0.427	0.525	0	0	0
hsa-miR-451a-3p:Novel	378.391604331482	-0.45578928993175	0.558432545779318	-0.816193994022457	0.41438919135015	0.716720876467633	heavy_vs_light	FALSE	1634.49	308.792	152.739	1.245	0	0.399
hsa-miR-451b	22.1319193030279	-0.340668128203182	0.673447581138589	-0.50585693340411	0.612957087308871	0.830588633049316	heavy_vs_light	FALSE	95.755	18.067	8.816	0.456	0	0
hsa-miR-451b-3p:Novel	346.45510978457	-0.773398899945519	0.534702218821385	-1.44641049302223	0.148062100496207	0.470253572702741	heavy_vs_light	FALSE	1547.882	275.426	141.159	1.046	0.327	0.545
hsa-miR-452-3p	0.763291507223503	-0.755185353899047	0.391310965000496	-1.92988549119264	0.053621027518519	NA	heavy_vs_light	NA	0.226	0.94	0.667	0	0	0
hsa-miR-452-5p	3.6681720466639	-0.22468044042607	0.337764056292224	-0.665199378798564	0.505922977772994	0.768900633447751	heavy_vs_light	FALSE	13.398	2.354	3.46	1.347	1.011	0.729
hsa-miR-4520-2-3p	4.36545147421309	-0.172106968378231	0.415486355208297	-0.414230133482839	0.678705575362412	0.863537098513297	heavy_vs_light	FALSE	0.438	6.016	1.672	0	0	0.229
hsa-miR-4520-3p	16.7531984199061	-0.134814247642373	0.183144184282448	-0.736109902537013	0.461663816840664	0.745530703585405	heavy_vs_light	FALSE	23.487	15.859	15.759	12.637	10.662	10.758
hsa-miR-4520-5p	4.39188362655928	0.19286954804324	0.346470987710825	0.556668681893259	0.577753818327365	0.807887040757754	heavy_vs_light	FALSE	1.141	4.819	4.069	1.046	1.005	0.86
hsa-miR-4521	0.264897539041393	0.177850448555975	0.655804133613809	0.271194461028981	0.786241472869378	NA	heavy_vs_light	NA	0.508	0.196	0.322	0	0	0
