ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4666a-3p	2.7680867314876	-0.0541435565851243	0.466204274836331	-0.116136980091254	0.907543981222967	0.974634625107071	former_vs_never	FALSE	4.733	0.674	0.696	0.591	0	0	0.37	0
hsa-miR-4666a-5p	24.5413494472932	0.473420829977837	0.352846299903909	1.34171969525191	0.1796868985777	0.618617289311455	former_vs_never	FALSE	21.172	26.483	32.929	20.534	6.618	11.754	12.166	5.288
hsa-miR-4666b	0.685583113745181	-0.207359018275829	0.356346123966785	-0.581903392037895	0.560631755580449	NA	former_vs_never	NA	0.83	0.488	0.689	0.318	0	0	0	0
hsa-miR-4666b-3p:Novel	7.44126396046258	0.24721042418833	0.259620492234077	0.952199196839369	0.340995968266568	0.737910923159284	former_vs_never	FALSE	5.887	9.7	8.878	4.641	3.631	3.017	4.505	2.052
hsa-miR-4667-3p	5.01607446161257	-0.381655841328993	0.336403354970549	-1.13451853463948	0.256577103552239	0.680959849999315	former_vs_never	FALSE	5.12	4.661	2.699	9.72	1.746	1.363	2.433	2.842
hsa-miR-4667-5p	11.3285274443065	0.696829850064085	0.287581474054664	2.4230693314119	0.0153899891826289	0.259181499850815	former_vs_never	FALSE	10.093	14.994	10.978	1.67	2.67	1.798	2.94	0.756
hsa-miR-4668-3p	0.132980999837483	-0.122741135037844	0.941096708056654	-0.130423509068799	0.896231367898088	NA	former_vs_never	NA	0.182	0.098	0.06	0.024	0	0	0	0
hsa-miR-4668-5p	1.65145519476185	-0.276050417422807	0.342231993349303	-0.806617799584428	0.41988671557587	NA	former_vs_never	NA	1.754	1.112	1.222	4.054	0.544	0.607	0.735	1.112
hsa-miR-4669	2.6541918320444	0.597180519119497	0.244884526911877	2.43862087429638	0.0147434270554594	0.254995423509423	former_vs_never	FALSE	2.42	2.802	2.857	2.914	1.574	1.798	2.02	1.061
hsa-miR-4669-5p:Novel	5.10291690197196	-0.196963723511406	0.238789226943009	-0.824843423771437	0.409460489944548	0.772822176448115	former_vs_never	FALSE	5.463	3.5	7.209	4.711	3.261	2.312	4.505	3.597
hsa-miR-4670-3p	5.7146195664294	-0.222335510990799	0.265826215095697	-0.836394224364814	0.402933160724162	0.772822176448115	former_vs_never	FALSE	5.484	4.167	5.904	13.825	2.954	2.481	3.737	5.971
hsa-miR-4670-5p	0.366503338958462	0.20145063297748	0.46771884693113	0.43070882069275	0.666680104351704	NA	former_vs_never	NA	0.349	0.376	0.18	0.772	0	0	0	0
