ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-4747-5p	0.864831970608648	0.323785770581368	1.11733590077979	0.28978373500341	0.771981691813925	NA	a.no_drinker_vs_a.drinker	NA	0.895172047704454	2.53103357443665	0	0.666131998054403
hsa-miR-4748	7.64773035060361	-0.346061316251709	0.54642074828099	-0.633323894344054	0.526522152717294	0.845385417155123	a.no_drinker_vs_a.drinker	FALSE	9.77395634932367	9.01805963406198	6.53122537477305	9.94993818915233
hsa-miR-4748-3p:Novel	16.6581895525377	-0.371854842355108	0.876419580102356	-0.424288606504751	0.671355347391281	0.906611275274898	a.no_drinker_vs_a.drinker	FALSE	16.6252255857294	11.2074132202112	6.58788615205412	7.31958632117258
hsa-miR-4749-3p	0.140168675161138	0.642220125650748	5.33432825108304	0.120393814445213	0.904171191120406	NA	a.no_drinker_vs_a.drinker	NA	0.149601722947415	0.290046759849939	0	0
hsa-miR-4749-5p	1.93531520372088	-1.00566726000805	0.957302988102827	-1.05052138404067	0.293478464607938	NA	a.no_drinker_vs_a.drinker	NA	2.08260941686495	4.3431423699178	0.086464732150277	0.333065999027202
hsa-miR-4750-3p	2.19745478942307	-0.81514965233929	1.72635620514645	-0.472179292957759	0.636798818644236	NA	a.no_drinker_vs_a.drinker	NA	2.05741463960973	6.74901782401668	0	0
hsa-miR-4750-5p	6.1080542825638	-0.575309931381584	0.740412561814089	-0.777012656257498	0.437151303347911	0.786872346026239	a.no_drinker_vs_a.drinker	FALSE	7.86093543404234	6.00572116233407	3.76754424073041	6.51737520451669
hsa-miR-4751	4.315248065073	1.48501515900239	0.842412934004563	1.76281144205978	0.0779322969602519	0.464830497365531	a.no_drinker_vs_a.drinker	FALSE	4.46264813959639	6.43332783910842	1.94846730930549	4.18262075495576
hsa-miR-4751-3p:Novel	6.85211449385131	-0.32496337842471	0.880404055713243	-0.369107089314175	0.712047904973924	0.923686136353819	a.no_drinker_vs_a.drinker	FALSE	7.36250744253268	9.13988731387147	2.11868909052056	4.18262075495576
hsa-miR-4752	1.23226499001319	-0.187287359881603	0.782970503991863	-0.239201041324986	0.810949695239784	NA	a.no_drinker_vs_a.drinker	NA	1.47000451016089	1.48554107919933	0.784109992808618	1.32665842522031
hsa-miR-4752-3p:Novel	2.12854704876281	-0.774343500827969	1.03315333668782	-0.749495233021688	0.453558770756494	NA	a.no_drinker_vs_a.drinker	NA	2.44737463944854	0.955273465570591	0.925768709083284	1.04565518873894
hsa-miR-4753-3p	0.189942790604326	-0.0532966726645441	2.27163883664126	-0.0234617720937304	0.981281931534705	NA	a.no_drinker_vs_a.drinker	NA	0.18052187920181	0.443945051101958	0	0
hsa-miR-4753-5p	1.11520996111315	-0.243341592509158	0.934842663455574	-0.260302189899704	0.79463068351971	NA	a.no_drinker_vs_a.drinker	NA	1.24945605164119	1.20014908081746	0.693831285712432	1.04565518873894
