ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no.x	yes.x	no.y	yes.y
hsa-miR-489-3p	3.22159139901939	-0.462988333040443	0.515309797546045	-0.898466000928448	0.368937163210452	NA	yes_vs_no	NA	2.756	3.042	1.433	1.584
hsa-miR-489-5p	0.78911879643824	1.39711032558628	0.883293296156359	1.58170602184551	0.113716697373066	NA	yes_vs_no	NA	0.303	1.049	0	0
hsa-miR-490-3p	2.11996122497519	1.02589099563783	0.505933412096045	2.02771940162568	0.0425888943405834	NA	yes_vs_no	NA	1.642	2.206	0.678	0.745
hsa-miR-490-5p	0.137360040659229	1.56754934642341	2.20735997966526	0.710146673340125	0.477613185760849	NA	yes_vs_no	NA	0.039	0.189	0	0
hsa-miR-491-3p	0.517089189564778	1.13622772038947	1.34281764468683	0.846151914137571	0.397468003075518	NA	yes_vs_no	NA	0.137	0.719	0	0
hsa-miR-491-5p	8.39776743123487	-0.281414858088358	0.628987345169614	-0.447409411730647	0.6545794815447	0.820797267012413	yes_vs_no	FALSE	7.212	8.28	2.058	1.352
hsa-miR-492	2.00468950284078	0.951566504193677	0.497994879912017	1.91079575830538	0.0560308330317365	NA	yes_vs_no	NA	1.471	2.167	0.98	0.842
hsa-miR-492-3p:Novel	7.25383400322248	0.322155070570365	0.415818601282434	0.774749060231552	0.438487955000269	0.663014919910045	yes_vs_no	FALSE	5.5	8.196	3.766	3.339
hsa-miR-493-3p	2.0750443409169	0.209274777278719	0.779032632290841	0.268634160629858	0.788211221865592	NA	yes_vs_no	NA	2.994	1.563	0.295	0
hsa-miR-493-5p	2.93474249035124	0.338938582389569	0.442049646787073	0.766743248983592	0.443234184103674	NA	yes_vs_no	NA	2.613	2.953	1.466	1.263
hsa-miR-494-3p	11.8855219921337	0.257928674750231	0.411422221353074	0.626919649361579	0.530711906387526	0.739226906233457	yes_vs_no	FALSE	11.286	10.775	4.962	6.294
hsa-miR-494-5p	2.21304570594882	0.475953107346868	0.501985906475712	0.948140378458805	0.343057994607464	NA	yes_vs_no	NA	2.142	2.107	0.705	0.619
hsa-miR-495-3p	0.319590693325533	1.74284065035746	1.06864779858551	1.63088405053969	0.102914787778531	NA	yes_vs_no	NA	0.272	0.324	0	0
hsa-miR-495-5p	0.727072431820558	0.757962720646065	0.768155397312719	0.986730970449063	0.323774543092357	NA	yes_vs_no	NA	0.621	0.727	0	0
hsa-miR-496	7.3417401237595	1.87114012564969	0.554932423633741	3.37183420171653	0.000746693843505217	0.0543399039170432	yes_vs_no	FALSE	7.365	6.828	1.561	1.257
hsa-miR-496-5p:Novel	5.10867308743053	0.589147576230047	0.36654367793004	1.60730524546789	0.107987424195201	0.353564778799109	yes_vs_no	FALSE	3.549	5.917	2.498	3.015
hsa-miR-497-3p	2.3507744372607	1.02547218563747	0.469246123773349	2.18536101564642	0.0288623868848688	NA	yes_vs_no	NA	1.828	2.561	0.277	0
hsa-miR-497-5p	0.897822832260452	0.691607087927078	0.681938251799811	1.0141784627886	0.310497603496831	NA	yes_vs_no	NA	0.559	1.064	0	0
hsa-miR-498-3p	2.07794780023926	-0.235307712990743	0.454602257181983	-0.517612284746194	0.604728808862357	NA	yes_vs_no	NA	2.143	1.794	1.411	1.078
hsa-miR-498-5p	5.14608856231378	0.738835943975683	0.652431960106088	1.13243370826829	0.257452139961027	0.511238031093496	yes_vs_no	FALSE	5.119	4.609	1.139	1.028
hsa-miR-4999-3p	1.06061051622724	-0.266964447199551	0.918863242565446	-0.290537737100238	0.771404885144775	NA	yes_vs_no	NA	1.284	0.791	0	0
hsa-miR-4999-5p	0.675651017874132	0.561178693685089	0.843804976130233	0.66505734092575	0.506013818208491	NA	yes_vs_no	NA	0.437	0.9	0	0
hsa-miR-499a-3p	1.46973691003606	0.275692880130095	0.780433965626016	0.353255870801255	0.723896625488415	NA	yes_vs_no	NA	2.055	1.068	0.287	0
hsa-miR-499a-5p	1.48055509827077	0.115780072657105	0.48173607793511	0.240339218838204	0.810067293598135	NA	yes_vs_no	NA	1.299	1.528	0.738	0.666
hsa-miR-499b-3p	2.68848524864927	-1.08563541302567	0.531223748778872	-2.04364999780456	0.0409881362201883	NA	yes_vs_no	NA	3.418	1.879	1.04	0.693
hsa-miR-499b-5p	14.6198950569326	0.830469137210454	0.461114471015179	1.80100428291073	0.0717022049067651	0.291062414919388	yes_vs_no	FALSE	15.387	13.478	5.296	3.496
hsa-miR-5000-3p	0.399656010925003	-0.364725460991151	0.925723165479878	-0.393989774256199	0.693588588884195	NA	yes_vs_no	NA	0.404	0.391	0	0
hsa-miR-5000-5p	0.799276644464329	0.55577980982907	0.560491033629233	0.991594470709625	0.321395387624865	NA	yes_vs_no	NA	0.551	0.907	0.163	0.289
hsa-miR-5001-3p	2.47722142610343	0.788938166723709	0.654246542732463	1.20587288612746	0.227866506618371	NA	yes_vs_no	NA	1.908	2.639	0	0
hsa-miR-5001-5p	57.8239227782266	0.576269685110948	0.310709437047108	1.8546899977923	0.0636405079048946	0.273523415824119	yes_vs_no	FALSE	50.192	55.63	37.289	39.623
hsa-miR-5002-3p	8.08512041628727	1.0689562226882	0.460370049979352	2.32194996771867	0.0202356298077471	0.150270505377057	yes_vs_no	FALSE	6.413	8.395	4.245	4.191
hsa-miR-5002-5p	0.572153572008255	0.406664815022654	0.655422696202076	0.6204619055445	0.534953726696181	NA	yes_vs_no	NA	0.38	0.66	0	0
hsa-miR-5003-3p	5.69726935371614	-0.0430532446857005	0.417721392530638	-0.103066889691417	0.917909883238242	0.965302477770228	yes_vs_no	FALSE	6.722	4.539	3.827	2.704
hsa-miR-5003-5p	0.79006973508912	0.648475046337567	0.83180329929167	0.779601435687719	0.435625510598712	NA	yes_vs_no	NA	0.555	0.899	0	0
hsa-miR-5004-3p	0.760872097035172	0.425350425637364	0.560559349799077	0.758796416097285	0.447974349877467	NA	yes_vs_no	NA	0.676	0.775	0.124	0
hsa-miR-5004-5p	2.21738116118937	0.839513167295123	0.542390443228272	1.54780228482345	0.121669906242203	NA	yes_vs_no	NA	1.313	2.852	1.048	0.716
hsa-miR-5006-3p	2.41177171249584	0.666899342854733	0.896975887087837	0.743497514765885	0.457180525600178	NA	yes_vs_no	NA	2.148	2.273	0	0
hsa-miR-5006-5p	45.4985290975461	0.37604978103947	0.339988927130991	1.1060647892647	0.268698477616878	0.521200292749894	yes_vs_no	FALSE	33.717	49.219	17.175	16.741
