ID	Average_F	Average_M	Median_F	Median_M	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4999-3p	3.12253928573287	1.38708940110717	0	0	-0.606748762684411	0.199907577033392	NA	M_vs_F	NA
hsa-miR-4999-5p	0.793830370653599	0.50245201810417	0	0	0.00613647472350431	0.983756147448048	NA	M_vs_F	NA
hsa-miR-499a-3p	1.89669138240009	0.822278562062218	0.303458067510637	0	-0.688178495805709	0.0310936504070011	NA	M_vs_F	NA
hsa-miR-499a-5p	1.87240089165273	1.28107474843226	1.02147362133165	0.376758150928096	-0.260520619510852	0.238732720668839	NA	M_vs_F	NA
hsa-miR-499b-3p	3.53146416633231	2.89146216025848	2.01922032167631	1.64367125064551	0.160053197330257	0.441292932043936	NA	M_vs_F	NA
hsa-miR-499b-5p	19.8029407714419	14.938555341144	11.0320483196614	6.05607097525635	-0.344039498075661	0.0663573061833436	0.326907317226766	M_vs_F	FALSE
hsa-miR-5000-3p	0.511783536072494	1.90939522843784	0	0	0.908917909511761	0.00976554116535116	NA	M_vs_F	NA
hsa-miR-5000-5p	1.62229822213492	1.45628486968666	0.733851867545436	0.253322748586478	0.381274979422526	0.128372821757206	NA	M_vs_F	NA
hsa-miR-5001-3p	4.65315085686609	3.90309712897081	1.07382464212809	0	0.100374624151563	0.723922334393809	0.898413387090303	M_vs_F	FALSE
hsa-miR-5001-5p	62.9457869912808	54.6127951612387	45.2967710641409	41.1358017405446	-0.052993078940934	0.697556450789553	0.888963208278529	M_vs_F	FALSE
hsa-miR-5002-3p	7.68899710772457	6.1001670557852	4.20421013635023	3.36818264605399	-0.432923683223643	0.0349059735365977	0.243614606974171	M_vs_F	FALSE
hsa-miR-5002-5p	0.791533614502115	0.762799923666503	0	0	0.311460780255057	0.255196301922623	NA	M_vs_F	NA
hsa-miR-5003-3p	7.49480180215731	6.86230792063747	5.05973802034507	4.65750933587092	-0.0563763700327251	0.745164830110645	0.907353103564874	M_vs_F	FALSE
hsa-miR-5003-5p	1.17812985048016	0.638913124842795	0	0	-0.251098097400524	0.432829373698714	NA	M_vs_F	NA
hsa-miR-5004-3p	1.03101607216961	0.919840243067802	0.487611479844097	0	0.196410682507722	0.425882913968772	NA	M_vs_F	NA
hsa-miR-5004-5p	2.59502957205037	2.53499727717876	1.29723357092376	1.38985610524605	0.261506965554406	0.234109419543932	NA	M_vs_F	NA
hsa-miR-5006-3p	2.12378656615815	0.71589003571161	0	0	-0.739164836289846	0.0703994370918907	NA	M_vs_F	NA
hsa-miR-5006-5p	105.788063028884	60.951137062698	66.3403246656269	30.103255444838	-0.012093162848578	0.925872391197008	0.975166322146546	M_vs_F	FALSE
hsa-miR-5007-3p	0.0757730398434974	0.0317725658500155	0	0	-0.140277828434542	0.899777088133284	NA	M_vs_F	NA
hsa-miR-5007-5p	0.877562603887264	1.01518267897419	0.160869519095132	0	0.333898939340655	0.222030401330518	NA	M_vs_F	NA
hsa-miR-5008-3p	0.273869987484132	0.186478306170877	0	0	-0.110812072815419	0.817237448055979	NA	M_vs_F	NA
hsa-miR-5008-5p	2.17329736015135	1.65365064790269	0.822259505045136	0.621576965195473	0.203794041431957	0.439032206868661	NA	M_vs_F	NA
hsa-miR-5009-3p	0.582666393330931	0.384680673212414	0	0	-0.00904686524804764	0.981264812304823	NA	M_vs_F	NA
hsa-miR-5009-5p	2.82284724837248	2.99725594349083	1.14640683189257	0.874894526913718	0.28208291050905	0.263555858472693	NA	M_vs_F	NA
hsa-miR-500a-3p	3.90135636402971	3.72166549597653	1.84688191592152	1.34327121719529	0.0202318220161946	0.931693483507697	NA	M_vs_F	NA
hsa-miR-500a-5p	4.68564034049837	4.16638002354047	1.76313983533259	1.86473148850066	-0.166882845703039	0.475172682354257	0.774235644886557	M_vs_F	FALSE
hsa-miR-500b-3p	0.89426989741534	0.712478514124377	0	0	0.016462086737388	0.958487711121887	NA	M_vs_F	NA
hsa-miR-500b-5p	4.36201853535153	3.80163100165436	1.65134821955369	1.41625005736342	-0.20173518565704	0.403723986772565	0.732741293683718	M_vs_F	FALSE
