miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-329-5p	-0.055	0.465	0.794309258361609	-0.017	0.828	0.975121433311214
hsa-miR-330-3p	-0.072	0.334	0.707766686710764	-0.122	0.11	0.808864429530201
hsa-miR-330-5p	-0.044	0.574	0.84741348973607	-0.037	0.643	0.939830775611779
hsa-miR-331-3p	-0.123	0.127	0.53356338028169	-0.08	0.334	0.872848398576512
hsa-miR-331-5p	-0.159	0.04	0.380483290488432	-0.063	0.425	0.896943374197315
hsa-miR-335-3p	-0.095	0.238	0.643677666922487	-0.019	0.821	0.974799191374663
hsa-miR-335-5p	-0.061	0.386	0.741393185505679	0.053	0.461	0.900534368070953
hsa-miR-337-3p	-0.122	0.13	0.536440281030445	-0.043	0.6	0.932686369651522
hsa-miR-337-5p	-0.063	0.388	0.741393185505679	0.01	0.893	0.987427674929401
hsa-miR-338-3p	-0.065	0.354	0.723443358251869	-0.094	0.191	0.821126213592233
hsa-miR-338-5p	0.055	0.451	0.782532742491384	0.05	0.511	0.909532635774788
hsa-miR-339-3p	0.028	0.701	0.898299636363636	-0.032	0.672	0.945360479041916
hsa-miR-339-5p	-0.028	0.691	0.897536989326463	-0.022	0.763	0.967635734072022
hsa-miR-33a-3p	-0.043	0.598	0.856299065420561	-0.032	0.702	0.954048592364057
hsa-miR-33a-5p	-0.051	0.48	0.80280968201234	-0.135	0.066	0.733703470031546
hsa-miR-33b-3p	-0.115	0.111	0.509328125	-0.014	0.849	0.978056881333769
hsa-miR-33b-5p	-0.066	0.356	0.723443358251869	-0.067	0.363	0.879212981744422
hsa-miR-340-3p	-0.036	0.65	0.881678214010778	-0.212	0.009	0.533939393939394
hsa-miR-340-5p	-0.122	0.101	0.49160773480663	-0.111	0.145	0.808864429530201
hsa-miR-342-3p	-0.047	0.519	0.818691136974038	-0.044	0.55	0.919739007092199
hsa-miR-342-5p	0.023	0.743	0.921299085151302	0.081	0.264	0.844389036251105
hsa-miR-345-3p	0.034	0.625	0.868151359873867	-0.082	0.25	0.844389036251105
hsa-miR-345-5p	0.091	0.226	0.632584590945195	0.112	0.144	0.808864429530201
hsa-miR-346	-0.003	0.966	0.991606175356831	-0.138	0.054	0.720818181818182
hsa-miR-346-3p:Novel	0.015	0.829	0.948549983824005	0.031	0.662	0.944489068825911
hsa-miR-34a-3p	-0.049	0.526	0.821641843971631	0.001	0.99	0.997662100456621
hsa-miR-34a-5p	-0.014	0.846	0.95401728	-0.056	0.448	0.898352279122116
hsa-miR-34b-3p	-0.111	0.165	0.580299401197605	-0.141	0.088	0.779175879396985
hsa-miR-34b-5p	-0.091	0.203	0.611701947502117	0.001	0.984	0.99586904078116
hsa-miR-34c-3p	0.054	0.509	0.815696225557071	0.157	0.063	0.733703470031546
hsa-miR-34c-5p	-0.142	0.064	0.424738229755179	-0.089	0.26	0.844389036251105
hsa-miR-3529-3p	-0.007	0.93	0.983932893948472	0.015	0.849	0.978056881333769
hsa-miR-3529-5p	0.062	0.392	0.74269247311828	0.113	0.131	0.808864429530201
hsa-miR-3605-3p	-0.01	0.899	0.974792615384615	-0.148	0.054	0.720818181818182
hsa-miR-3605-5p	-0.2	0.005	0.195777777777778	-0.113	0.118	0.808864429530201
hsa-miR-3606-3p	0.103	0.213	0.624801988400994	0.08	0.345	0.872848398576512
hsa-miR-3606-5p	-0.09	0.237	0.643677666922487	-0.109	0.163	0.808864429530201
hsa-miR-3609	-0.073	0.302	0.686611612903226	-0.092	0.204	0.824257627118644
hsa-miR-3609-5p:Novel	-0.149	0.046	0.394413625304136	-0.18	0.019	0.562655462184874
hsa-miR-361-3p	-0.074	0.287	0.676513712374582	-0.104	0.143	0.808864429530201
hsa-miR-361-5p	-0.078	0.332	0.707766686710764	0.001	0.992	0.997662100456621
hsa-miR-3610	-0.086	0.227	0.632870253164557	-0.018	0.805	0.970062841530055
hsa-miR-3610-5p:Novel	-0.035	0.615	0.864828411811652	-0.098	0.17	0.808864429530201
hsa-miR-3611	0.018	0.806	0.943009296148739	0.03	0.688	0.950245914396887
hsa-miR-3611-5p:Novel	-0.075	0.32	0.699585696670777	0.101	0.192	0.821126213592233
hsa-miR-3612	-0.026	0.707	0.899446931407942	-0.09	0.206	0.824257627118644
hsa-miR-3612-3p:Novel	-0.198	0.005	0.195777777777778	-0.133	0.062	0.733181208053691
hsa-miR-3613-3p	-0.158	0.035	0.369281437125749	0.03	0.698	0.952542923433875
hsa-miR-3613-5p	-0.072	0.323	0.700894088669951	-0.067	0.368	0.879212981744422
hsa-miR-3614-3p	0.012	0.863	0.959477494491659	-0.113	0.111	0.808864429530201
hsa-miR-3614-5p	-0.118	0.096	0.486768345323741	-0.096	0.189	0.821126213592233
hsa-miR-3615	0.019	0.783	0.935279620853081	0.022	0.752	0.967635734072022
hsa-miR-3615-5p:Novel	-0.009	0.894	0.972362962962963	-0.113	0.111	0.808864429530201
hsa-miR-3616-3p	0.042	0.574	0.84741348973607	-0.032	0.679	0.947162055335968
hsa-miR-3616-5p	0.056	0.484	0.804156529938708	-0.113	0.169	0.808864429530201
hsa-miR-3617-3p	-0.042	0.613	0.863739304278289	0.11	0.192	0.821126213592233
hsa-miR-3617-5p	-0.018	0.814	0.945463414634146	-0.102	0.183	0.816318987341772
hsa-miR-3618	-0.077	0.304	0.687281070745698	-0.017	0.823	0.975075889858966
hsa-miR-3618-5p:Novel	-0.195	0.011	0.28192	-0.114	0.147	0.808864429530201
hsa-miR-3619-3p	-0.207	0.003	0.160181818181818	-0.109	0.122	0.808864429530201
hsa-miR-3619-5p	-0.028	0.701	0.898299636363636	-0.028	0.708	0.957402916346892
hsa-miR-362-3p	-0.172	0.039	0.380483290488432	0.027	0.753	0.967635734072022
hsa-miR-362-5p	0.025	0.75	0.925744308231173	-0.042	0.593	0.932083853702052
hsa-miR-3620-5p	-0.008	0.913	0.979480362537764	-0.118	0.096	0.79977304964539
hsa-miR-3621	-0.106	0.128	0.53356338028169	0.041	0.565	0.922991207774179
hsa-miR-3621-3p:Novel	-0.114	0.097	0.488325714285714	-0.093	0.188	0.818927070457355
hsa-miR-3622a-3p	-0.099	0.174	0.588447817836812	-0.219	0.004	0.4405
hsa-miR-3622a-5p	0.034	0.624	0.868131069877615	-0.095	0.179	0.816318987341772
hsa-miR-3622b-3p	0.091	0.258	0.657881331403763	-0.039	0.636	0.939047539616347
hsa-miR-3622b-5p	-0.029	0.68	0.891819873464831	-0.083	0.244	0.844389036251105
hsa-miR-363-3p	-0.03	0.694	0.898299636363636	0.001	0.987	0.996329991406474
hsa-miR-363-5p	0.007	0.931	0.983932893948472	0.027	0.73	0.96349063670412
hsa-miR-3646	-0.11	0.127	0.53356338028169	-0.029	0.696	0.95176717112922
hsa-miR-3646-5p:Novel	-0.119	0.094	0.481476744186046	-0.09	0.218	0.837954397394137
hsa-miR-3648	0.109	0.115	0.514289340101523	0.074	0.291	0.850318407960199
hsa-miR-3648-3p:Novel	0.058	0.397	0.747743452699091	-0.116	0.099	0.805718244803695
hsa-miR-3649	-0.076	0.3	0.685603112840467	0.013	0.867	0.98481390856407
hsa-miR-3649-5p:Novel	-0.122	0.086	0.469139318885449	-0.097	0.184	0.817674653215637
hsa-miR-3650	0.008	0.919	0.979480362537764	-0.062	0.441	0.897718228867165
hsa-miR-3650-3p:Novel	-0.111	0.118	0.517848069738481	-0.023	0.748	0.966612394572791
hsa-miR-3651	-0.097	0.179	0.591741088180113	-0.086	0.246	0.844389036251105
hsa-miR-3651-5p:Novel	-0.105	0.132	0.539012746234067	-0.215	0.003	0.42288
hsa-miR-3652	-0.135	0.052	0.410869955156951	-0.085	0.231	0.844389036251105
hsa-miR-3652-3p:Novel	-0.076	0.269	0.665699438202247	0.005	0.942	0.994515994020927
hsa-miR-3654	-0.02	0.783	0.935279620853081	-0.007	0.922	0.994515994020927
hsa-miR-3654-5p:Novel	0.109	0.127	0.53356338028169	0.167	0.023	0.591440559440559
hsa-miR-3655	-0.064	0.38	0.741393185505679	-0.036	0.634	0.939047539616347
hsa-miR-3655-3p:Novel	0.024	0.734	0.917188385269122	-0.063	0.388	0.893084258654474
hsa-miR-3657	0.077	0.306	0.687281070745698	-0.091	0.234	0.844389036251105
hsa-miR-3657-5p:Novel	-0.103	0.165	0.580299401197605	-0.209	0.006	0.515707317073171
hsa-miR-3658	-0.044	0.567	0.843083544303797	-0.031	0.698	0.952542923433875
hsa-miR-3658-3p:Novel	-0.066	0.372	0.736476404494382	-0.105	0.168	0.808864429530201
hsa-miR-3659	-0.111	0.118	0.517848069738481	-0.007	0.925	0.994515994020927
hsa-miR-3659-5p:Novel	-0.032	0.655	0.883681887366819	-0.063	0.393	0.896943374197315
hsa-miR-365a-3p, hsa-miR-365b-3p	-0.171	0.023	0.336315352697095	-0.099	0.201	0.824257627118644
hsa-miR-365a-5p	0.089	0.213	0.624801988400994	0.014	0.847	0.978056881333769
hsa-miR-365b-5p	0.009	0.904	0.976907697025452	-0.094	0.2	0.824257627118644
hsa-miR-3660	-0.037	0.607	0.861138486312399	-0.1	0.173	0.809630810092961
hsa-miR-3660-5p:Novel	-0.095	0.187	0.59908	-0.072	0.332	0.872848398576512
hsa-miR-3661	-0.165	0.02	0.327813953488372	-0.087	0.227	0.844389036251105
hsa-miR-3661-3p:Novel	-0.208	0.003	0.160181818181818	-0.032	0.649	0.940023016851623
hsa-miR-3662	0.063	0.386	0.741393185505679	0.034	0.649	0.940023016851623
hsa-miR-3662-5p:Novel	-0.018	0.802	0.942628914057295	-0.022	0.767	0.967635734072022
hsa-miR-3663-3p	-0.083	0.233	0.640977361436378	-0.029	0.68	0.947162055335968
hsa-miR-3663-5p	-0.134	0.053	0.413212389380531	-0.085	0.229	0.844389036251105
hsa-miR-3664-3p	-0.06	0.416	0.759970969414204	0.017	0.82	0.974799191374663
hsa-miR-3664-5p	-0.156	0.035	0.369281437125749	0	0.997	0.998132954545455
hsa-miR-3665	-0.073	0.293	0.681539273927393	0.005	0.939	0.994515994020927
hsa-miR-3665-3p:Novel	0.041	0.553	0.835463477146519	0.077	0.278	0.848538131962297
hsa-miR-3666	-0.199	0.005	0.195777777777778	-0.107	0.144	0.808864429530201
hsa-miR-3666-3p:Novel	-0.003	0.961	0.990802808660035	0.039	0.583	0.927034234234234
hsa-miR-3667-3p	-0.126	0.108	0.504751642575558	-0.101	0.209	0.826424778761062
hsa-miR-3667-5p	-0.043	0.56	0.83976170212766	-0.001	0.986	0.996329991406474
hsa-miR-3668	-0.079	0.26	0.659640028797696	0.021	0.776	0.967635734072022
hsa-miR-3668-3p:Novel	-0.079	0.254	0.655267935578331	0.028	0.688	0.950245914396887
hsa-miR-367-3p	0.018	0.792	0.937838709677419	0.024	0.732	0.963964125560538
hsa-miR-367-5p	-0.135	0.08	0.456920583468395	0.082	0.299	0.850522928399035
