miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-6888-5p	4.51603624725871	1.15566637348379	0.00267424193791232	0.163938759885952	light_no	82_76	FALSE	hsa-miR-520a-3p	1.94742995812047	-1.48470644233003	0.000543111501892491	0.0303985373946251	heavy_no	74_76	FALSE	hsa-miR-4483-5p:Novel	8.94929456491198	-1.32510525386477	0.00188169716934477	0.0987487877574368	heavy_light	74_82	FALSE
hsa-miR-4701-3p	6.91069117981953	0.641662957982125	0.00291940848242885	0.171604254698867	light_no	82_76	FALSE	hsa-miR-563	2.66010904703948	-0.91761431230255	0.000515359884635784	0.0303985373946251	heavy_no	74_76	FALSE	hsa-miR-6512-5p	4.20736978342238	-0.829560172745792	0.00189368582696675	0.0987487877574368	heavy_light	74_82	FALSE
hsa-miR-4791	4.69456008918691	0.767100834226938	0.00309555873477844	0.177626108352763	light_no	82_76	FALSE	hsa-miR-622	47.6231733964898	-1.02129731093533	0.000544916163283933	0.0303985373946251	heavy_no	74_76	TRUE	hsa-miR-5572-5p:Novel	12.5247290937339	-0.685125862718886	0.00205775216158485	0.104749383844486	heavy_light	74_82	FALSE
hsa-miR-105-3p	7.30947691366338	-0.910992169044766	0.00325996895540118	0.181482366037845	light_no	82_76	FALSE	hsa-miR-5197-3p	3.52734813946082	-1.17871037414893	0.000635933790376964	0.0338634743375733	heavy_no	74_76	FALSE	hsa-miR-23c	84.9687338647717	-1.31832738280319	0.00210813801076651	0.104818582953926	heavy_light	74_82	FALSE
hsa-miR-4672-5p:Novel	2.68439967975902	0.9549763414262	0.00332687529125235	0.181482366037845	light_no	82_76	FALSE	hsa-miR-6080	7.79867307886331	-0.813284682908722	0.000631540380000951	0.0338634743375733	heavy_no	74_76	FALSE	hsa-miR-320d-1-5p:Novel	23.9684598788601	-0.571675937400477	0.00226518705729109	0.108092596782749	heavy_light	74_82	FALSE
hsa-miR-5091	21.9331088746072	0.709902735404277	0.00338867488452407	0.181482366037845	light_no	82_76	FALSE	hsa-miR-5702	2.15098459007103	-0.908358416743224	0.000677002227886886	0.0348879746029988	heavy_no	74_76	FALSE	hsa-miR-4494-5p:Novel	10.2243191808238	0.969372358675207	0.00227510142901015	0.108092596782749	heavy_light	74_82	FALSE
hsa-miR-3186-3p	5.14479581512108	0.86253056432966	0.00377772892901136	0.197920146063421	light_no	82_76	FALSE	hsa-miR-6748-3p	6.7473333998708	-1.12732078392378	0.00069696732213093	0.0348879746029988	heavy_no	74_76	FALSE	hsa-miR-5698-3p:Novel	2.29574784465112	-0.907415284229627	0.00239424396054627	0.11128029538365	heavy_light	74_82	FALSE
hsa-miR-1306-5p	3.76708635053571	0.772756198284146	0.00413721045027096	0.206995409660161	light_no	82_76	FALSE	hsa-miR-8485-5p:Novel	1.8902099660609	-1.14439324287377	0.000699844134161735	0.0348879746029988	heavy_no	74_76	FALSE	hsa-miR-125b-5p	12.8955272369719	-0.565902593116607	0.0026905018667304	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-6768-5p	30.3944728948732	-0.70622824918205	0.00420862036238503	0.206995409660161	light_no	82_76	FALSE	hsa-miR-5581-3p	6.89284631127922	-1.07203688339751	0.000728163266044228	0.035089083412609	heavy_no	74_76	FALSE	hsa-miR-135a-5p	3.59847951176883	-0.771519143908503	0.00263625692427236	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-8053	18.6435524386033	-0.68368107468929	0.00406442588800249	0.206995409660161	light_no	82_76	FALSE	hsa-miR-7974	1.48488636430679	-1.08203049553546	0.000733830596337107	0.035089083412609	heavy_no	74_76	FALSE	hsa-miR-4701-3p	6.91069117981953	-0.597543687744708	0.00255156986227889	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-4784-3p:Novel	18.4176746170834	0.817989459031671	0.004397941535556	0.211980782013799	light_no	82_76	FALSE	hsa-miR-3169-3p:Novel	21.8214400016379	-0.980321433004169	0.000796204490878677	0.0351982475873347	heavy_no	74_76	TRUE	hsa-miR-4791	4.69456008918691	-0.711243153970872	0.00259018762426227	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-4645-3p	13.7418592089148	1.06130869570358	0.00458232217560103	0.214721991276439	light_no	82_76	FALSE	hsa-miR-4539-5p:Novel	7.58910254684977	-1.09412620431585	0.000751805078567163	0.0351982475873347	heavy_no	74_76	FALSE	hsa-miR-558	1.80691727011666	-0.939703659240895	0.00276063130129191	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-4767	19.9489481568439	-0.787073791462485	0.00463300562090241	0.214721991276439	light_no	82_76	FALSE	hsa-miR-588-3p:Novel	9.89565599016554	-1.05957489567754	0.000795235287070183	0.0351982475873347	heavy_no	74_76	FALSE	hsa-miR-6737-5p	3.95648280492515	-0.785944579279741	0.00282620912132422	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-1827	24.5317624544084	-1.29942378447242	0.00499525740204699	0.218883097071514	light_no	82_76	FALSE	hsa-miR-6842-5p	1.76110560332658	-1.39478777990823	0.000784840536384207	0.0351982475873347	heavy_no	74_76	FALSE	hsa-miR-7108-5p	24.6670819050266	0.78474179436362	0.00280052065663237	0.114008209460211	heavy_light	74_82	FALSE
hsa-miR-3074-5p	10.837078599316	-0.873803775850505	0.00494711845929935	0.218883097071514	light_no	82_76	FALSE	hsa-miR-12121-3p:Novel	9.90733549132987	-0.838640451418571	0.000905719975139028	0.0378056711233932	heavy_no	74_76	FALSE	hsa-miR-378j	2.81680412628289	-0.883532896573253	0.00294679626746538	0.116671304071129	heavy_light	74_82	FALSE
hsa-miR-7150	9.3584432027941	0.909643220714329	0.00482209767084849	0.218883097071514	light_no	82_76	FALSE	hsa-miR-1276-3p:Novel	12.5145009634967	1.16350001723854	0.000903710455279473	0.0378056711233932	heavy_no	74_76	FALSE	hsa-miR-12119	11.434827099004	-0.717284268680385	0.00307895156409718	0.119687244437087	heavy_light	74_82	FALSE
hsa-miR-12127	72.0073420455935	0.84669602403638	0.00582484467244982	0.22013793896018	light_no	82_76	FALSE	hsa-miR-25-3p	29.486845027163	-1.34894217274482	0.000913382185433438	0.0378056711233932	heavy_no	74_76	TRUE	hsa-miR-373-3p	1.77232444557801	-1.07381270496934	0.00394658078061109	0.145600157501211	heavy_light	74_82	FALSE
hsa-miR-1233-3p	11.3259338534724	0.637632735609936	0.00560038996882615	0.22013793896018	light_no	82_76	FALSE	hsa-miR-4263	19.737368511477	-0.91021967653653	0.000921721204716715	0.0378056711233932	heavy_no	74_76	TRUE	hsa-miR-4537-3p:Novel	14.4232278681377	-0.718303697534942	0.0038549740048649	0.145600157501211	heavy_light	74_82	FALSE
hsa-miR-206-5p:Novel	19.0588794979671	-0.75243846863159	0.00530287337692214	0.22013793896018	light_no	82_76	FALSE	hsa-miR-4506	22.4498963011656	-1.06119747428885	0.000968134983953732	0.0378056711233932	heavy_no	74_76	TRUE	hsa-miR-551a	102.664241441312	-0.66208031960511	0.00394986395466335	0.145600157501211	heavy_light	74_82	FALSE
hsa-miR-2861	19.1986349551983	0.583964632425831	0.00583200910166874	0.22013793896018	light_no	82_76	FALSE	hsa-miR-638-3p:Novel	83.6704686137544	-0.769512586099591	0.000952193003984378	0.0378056711233932	heavy_no	74_76	TRUE	hsa-miR-4274-5p:Novel	7.58236418234548	-0.622110143441288	0.00415111886858287	0.147918202350503	heavy_light	74_82	FALSE
hsa-miR-3185-3p:Novel	22.8661308076918	-0.74633185751905	0.00521264904926014	0.22013793896018	light_no	82_76	FALSE	hsa-miR-6735-5p	6.58353376184617	0.734256559114456	0.000945901148323396	0.0378056711233932	heavy_no	74_76	FALSE	hsa-miR-4453-3p:Novel	15.1044288869091	-0.448742727885261	0.00413908455830389	0.147918202350503	heavy_light	74_82	FALSE
hsa-miR-3680-3p	21.0232551808379	-0.825040124894711	0.00578038394991153	0.22013793896018	light_no	82_76	FALSE	hsa-miR-4686-3p:Novel	3.57003231159722	-0.975878107249621	0.000989993985681552	0.0378238911093714	heavy_no	74_76	FALSE	hsa-miR-3198	2.61936437996712	-0.61485092438793	0.00450291369784283	0.157823434196524	heavy_light	74_82	FALSE
hsa-miR-4269-3p:Novel	3.01257546618873	-0.740475015172137	0.00567120064558559	0.22013793896018	light_no	82_76	FALSE	hsa-miR-93-5p	6.16342777176664	-1.20576198174138	0.0010008882837307	0.0378238911093714	heavy_no	74_76	FALSE	hsa-miR-548a-3p	2.71437958300228	-0.707929370016982	0.00458458284137292	0.158094163142828	heavy_light	74_82	FALSE
hsa-miR-622	47.6231733964898	-0.810772619925976	0.00513400350283465	0.22013793896018	light_no	82_76	FALSE	hsa-miR-4752-3p:Novel	2.70842793525946	-1.17582641042288	0.00101863155734066	0.0378833926801456	heavy_no	74_76	FALSE	hsa-miR-1-2-5p:Novel	8.28538390434202	0.729540466902889	0.00487816766403922	0.160605232145452	heavy_light	74_82	FALSE
hsa-miR-6740-3p	29.0018398410665	2.56397831737389	0.00584598676076826	0.22013793896018	light_no	82_76	FALSE	hsa-miR-12131	2.36172601967721	-1.03679202463753	0.00115328566225432	0.0399008324233071	heavy_no	74_76	FALSE	hsa-miR-5702	2.15098459007103	-0.704422753201906	0.00488275963024059	0.160605232145452	heavy_light	74_82	FALSE
hsa-miR-4667-5p	10.0702492074508	0.870883135174926	0.00605892530404609	0.22464630742694	light_no	82_76	FALSE	hsa-miR-200a-3p	80.6606842503482	-0.989313556758467	0.00114341277279212	0.0399008324233071	heavy_no	74_76	TRUE	hsa-miR-6783-5p	5.52072303276914	-0.877417598015545	0.00481233794331974	0.160605232145452	heavy_light	74_82	FALSE
hsa-miR-346-3p:Novel	5.22047950041507	-0.818922065447997	0.00711473187110585	0.255917967303957	light_no	82_76	FALSE	hsa-miR-3652	4.49107771218747	-0.666452695727727	0.00122614593874439	0.0399008324233071	heavy_no	74_76	FALSE	hsa-miR-1256	2.70231937357381	-0.760451578140749	0.00496498000665513	0.160835261427707	heavy_light	74_82	FALSE
hsa-miR-4713-3p	175.845884505272	0.774926007585963	0.00704594073501418	0.255917967303957	light_no	82_76	FALSE	hsa-miR-4269-3p:Novel	3.01257546618873	-0.872929629841531	0.00111903116636689	0.0399008324233071	heavy_no	74_76	FALSE	hsa-miR-4305-3p:Novel	7.83651407722552	-0.883162520006175	0.00531317629626903	0.167052513550341	heavy_light	74_82	FALSE
