miRNA	min	max	mean	median	sd
hsa-miR-1539-5p:Novel	0	267	11.54	6	23.7321566287327
hsa-miR-154-3p	0	8	0.36	0	0.92380261809221
hsa-miR-154-5p	0	71	1.54	0	5.89489109393241
hsa-miR-155-3p	0	2	0.06	0	0.255616211873739
hsa-miR-155-5p	0	114	3.66	1	10.4836108941764
hsa-miR-1587	0	22	1.37	0	2.94362074043001
hsa-miR-1587-3p:Novel	0	263	20.48	11	27.4618952440495
hsa-miR-15a-3p	0	15	0.84	0	1.99041286602514
hsa-miR-15a-5p	0	17	1.6	1	2.51365223049823
hsa-miR-15b-3p	0	121	1.87	0	9.49112006409346
hsa-miR-15b-5p	0	58	1.8	0	6.16983740400269
hsa-miR-16-1-3p	0	23	1.31	0	2.91233337022331
hsa-miR-16-2-3p	0	48	1.07	0	4.62512874357328
hsa-miR-16-5p	0	48	3.97	1	6.96228927544738
hsa-miR-17-3p	0	124	1.96	0	9.31874555910415
hsa-miR-17-5p	0	89	1.74	0	7.62172203223901
hsa-miR-181a-2-3p	0	41	1.49	0	3.59251087391011
hsa-miR-181a-3p	0	138	7.82	3	14.6358719072396
hsa-miR-181a-5p	0	150	7.7	4	15.4151410127638
hsa-miR-181b-2-3p	0	96	1.42	0	6.5602703193329
hsa-miR-181b-3p	0	121	4.23	1	10.5661881397245
hsa-miR-181b-5p	0	594	43.57	26	65.1658058189958
hsa-miR-181c-3p	0	362	25.48	12	39.9427479871853
hsa-miR-181c-5p	0	16	1.31	1	2.27784595858465
hsa-miR-181d-3p	0	73	4.01	2	6.92414608621418
hsa-miR-181d-5p	0	155	5.15	1	17.4955342195134
hsa-miR-182-3p	0	555	23.67	7	56.2812828835581
hsa-miR-182-5p	0	1295	67.26	19	140.101703053392
hsa-miR-1825	0	19	2.27	1	3.14448454278449
hsa-miR-1825-5p:Novel	0	25	1.84	1	3.24908771248874
hsa-miR-1827	0	2490	21.93	3	165.592573615438
hsa-miR-1827-5p:Novel	0	85	9.52	6	11.878726836263
hsa-miR-183-3p	0	194	2.97	0	14.5403311460134
hsa-miR-183-5p	0	107	5.62	2	11.7147791913525
hsa-miR-184	0	69	3.92	2	7.13643234172395
hsa-miR-184-5p:Novel	0	969	12.76	2	75.0941518446071
hsa-miR-1843	0	317	13.7	6	29.7354256394731
hsa-miR-1843-3p:Novel	0	189	9.09	4	19.6729644202635
hsa-miR-185-3p	0	33	0.71	0	2.43867359508391
hsa-miR-185-5p	0	859	11.92	2	61.563236715136
hsa-miR-186-3p	0	55	2.29	1	5.46688065314886
hsa-miR-186-5p	0	79	3.44	1	7.6042602735654
hsa-miR-187-3p	0	245	8.21	3	20.0128482853522
hsa-miR-187-5p	0	117	7.85	2	16.9227125598938
hsa-miR-188-3p	0	9	0.76	0	1.43919992819914
hsa-miR-188-5p	0	58	2.41	1	6.00153216587396
hsa-miR-18a-3p	0	7	0.25	0	0.694994684415637
hsa-miR-18a-5p	0	175	2.85	0	12.6674546488763
hsa-miR-18b-3p	0	5	0.29	0	0.707577540644743
hsa-miR-18b-5p	0	11	0.75	0	1.66293549100375
hsa-miR-1908-3p	0	125	4.61	2	10.5474010582661
hsa-miR-1908-5p	0	97	3.71	1	10.2684137600916
hsa-miR-1909-3p	0	54	2.51	1	5.58871367901943
hsa-miR-1909-5p	0	72	4.36	1	8.71080302778005
hsa-miR-190a-3p	0	7	0.09	0	0.518133511130024
hsa-miR-190a-5p	0	5	0.34	0	0.689248066907468
hsa-miR-190b-3p	0	3	0.12	0	0.424828792265663
hsa-miR-190b-5p	0	53	2.09	1	5.17299155670109
hsa-miR-191-3p	0	122	1.82	0	8.56662162510879
hsa-miR-191-5p	0	406	17.49	5	46.153615333758
hsa-miR-1910-3p	0	526	26.98	9	64.6605836914654
hsa-miR-1910-5p	0	23	1.03	0	2.48593051499455
hsa-miR-1911-3p	0	50	1.22	0	4.09183103867633
hsa-miR-1911-5p	0	26	0.77	0	2.22591029281084
hsa-miR-1912-3p	0	6	0.32	0	0.779197114128937
hsa-miR-1912-5p	0	193	5.81	2	14.6605718317809
hsa-miR-1913	0	316	17.16	7	34.8336641364405
hsa-miR-1913-5p:Novel	0	140	3.39	1	10.7421702094154
hsa-miR-1914-3p	0	13	1.81	1	2.44569553882733
hsa-miR-1914-5p	0	6	0.54	0	1.11776921648041
hsa-miR-1915-3p	0	176	15.84	6	27.0493741134423
hsa-miR-1915-5p	0	8	0.61	0	1.27214729457142
hsa-miR-192-3p	0	38	1.4	1	3.08226101879974
hsa-miR-192-5p	0	9735	257.7	62	850.060065237085
hsa-miR-193a-3p	0	85	2.08	0	7.22382595223542
hsa-miR-193a-5p	0	70	9.38	6	11.5073073282854
hsa-miR-193b-3p	0	41	1.01	0	4.06571099806502
hsa-miR-193b-5p	0	853	7.82	2	56.5077210617149
hsa-miR-194-1-3p:Novel	0	1490	51.07	16	113.601878924038
hsa-miR-194-3p	0	1017	60.15	28	94.2610790759525
hsa-miR-194-5p	0	836	97.61	50	144.091441181067
hsa-miR-195-3p	0	198	9.99	4	22.3976583243976
hsa-miR-195-5p	0	65	3.88	1	7.37580812578267
hsa-miR-196a-1-3p	0	3	0.16	0	0.450691344029644
hsa-miR-196a-3p	0	100	7.36	3	12.7193569352593
hsa-miR-196a-5p	0	49	6.09	3	9.19854825076016
hsa-miR-196b-3p	0	16	0.6	0	1.57003161115521
hsa-miR-196b-5p	0	323	5.07	1	23.1988128865014
hsa-miR-197-3p	0	30	1.39	0	3.39067944791951
hsa-miR-197-5p	0	992	84.53	42	118.964281597416
hsa-miR-1972	0	38	1.36	0	3.16499674259584
hsa-miR-1972-5p:Novel	0	20	1.27	1	2.16950421918279
hsa-miR-1973	0	28	1.3	0	2.73653821623402
hsa-miR-1973-5p:Novel	0	23	0.57	0	2.42569004141123
hsa-miR-1976	0	47	5.95	3	7.07669825075983
hsa-miR-1976-5p:Novel	0	17	1.97	1	2.88634545478482
hsa-miR-198	0	24	0.88	0	2.08921202058403
hsa-miR-198-3p:Novel	0	57	2.49	1	5.90084125211064
hsa-miR-199a-3p, hsa-miR-199b-3p	0	763	46.36	23	82.1808348593134
hsa-miR-199a-5p	0	40	3.83	2	6.14847615793325
hsa-miR-199b-5p	0	19	0.57	0	1.65971739527368
hsa-miR-19a-3p	0	66	3.94	2	6.64401428766294
hsa-miR-19a-5p	0	10	0.48	0	1.27677770743097
hsa-miR-19b-3p	0	123	6.08	3	14.30840280066
hsa-miR-19b-5p	0	106	2.4	1	9.16982491191621
hsa-miR-200a-3p	0	525	40.83	18	70.8665109890019
hsa-miR-200a-5p	0	34	2.82	1	4.46269459372369
hsa-miR-200b-3p	0	1056	55.82	20	130.114976164726
hsa-miR-200b-5p	0	46	2.54	1	5.02487890613408
hsa-miR-200c-3p	0	1475	46.7	14	128.187621194934
hsa-miR-200c-5p	0	71	3.14	1	7.23842868206959
hsa-miR-202-3p	0	301	16.05	6	28.7287013076116
hsa-miR-202-5p	0	14	0.83	0	1.62036214450806
hsa-miR-203a-3p	0	722	13.2	5	49.9733083261893
hsa-miR-203a-5p	0	124	12.5	7	15.98035552222
hsa-miR-203b-3p	0	14	1.36	1	2.26098031102643
hsa-miR-203b-5p	0	24	1.2	0	3.12175241936736
hsa-miR-204-3p	0	111	10.49	4	16.4437704826735
hsa-miR-204-5p	0	30	1.07	0	2.84798753557875
hsa-miR-205-3p	0	37	1.89	1	3.98830056095461
hsa-miR-205-5p	0	186	3.92	1	12.8989122506613
hsa-miR-2052	0	65	1.37	0	6.47758569775862
hsa-miR-2052-3p:Novel	0	157	2.08	0	10.9392147802701
hsa-miR-2053	0	83	8.88	4	13.6221541148609
hsa-miR-2053-5p:Novel	0	5	0.22	0	0.635979118446661
hsa-miR-2054	0	33	0.3	0	2.27710678982081
hsa-miR-2054-3p:Novel	0	8	0.29	0	0.876303232525824
hsa-miR-206	0	32	3.52	2	4.45674622868185
hsa-miR-206-5p:Novel	0	986	32.15	8	95.2697563566049
hsa-miR-208a-3p	0	6	0.39	0	0.922560220134734
hsa-miR-208a-5p	0	112	2.31	0	8.56157994628081
hsa-miR-208b-3p	0	25	1.32	0	3.29739830440898
hsa-miR-208b-5p	0	21	1.04	0	2.4780522458686
hsa-miR-20a-3p	0	4	0.11	0	0.440897949557413
hsa-miR-20a-5p	0	116	2.4	0	12.2913758056171
hsa-miR-20b-3p	0	23	0.91	0	2.46520855484564
hsa-miR-20b-5p	0	21	0.85	0	2.46793106374257
hsa-miR-21-3p	0	25	1.07	0	2.54592275177082
hsa-miR-21-5p	0	2741	128.48	42	283.563577659592
hsa-miR-210-3p	0	57	6.47	4	8.92304469639374
hsa-miR-210-5p	0	3	0.27	0	0.577980080802914
hsa-miR-211-3p	0	206	6.77	2	17.263610944369
hsa-miR-211-5p	0	19	0.97	0	2.0780518620132
hsa-miR-2110	0	5812	248.38	63	656.353632225602
hsa-miR-2110-3p:Novel	0	518	51.55	23	82.9459130585603
hsa-miR-2113	0	522	8.06	2	35.938047407211
hsa-miR-2113-5p:Novel	0	2474	38.7	8	172.55324723565
hsa-miR-2114-3p	0	28	1.63	1	3.09355385879781
hsa-miR-2114-5p	0	798	53.78	18	99.7460654061487
hsa-miR-2115-3p	0	224	10.74	3	24.401504101131
hsa-miR-2115-5p	0	31	0.97	0	2.57116413481125
hsa-miR-2116-3p	0	12	0.39	0	1.10101060845164
hsa-miR-2116-5p	0	32	3.06	1	5.06435935548767
hsa-miR-2117	0	37	3.18	1	5.27153398864682
hsa-miR-2117-5p:Novel	0	46	3.04	1	5.22289900033852
hsa-miR-212-3p	0	6	0.32	0	0.837839918405515
hsa-miR-212-5p	0	26	1.03	0	2.28926043392183
hsa-miR-214-3p	0	30	1.03	0	2.97672387166491
hsa-miR-214-5p	0	6	0.41	0	0.826412979990703
hsa-miR-215-3p	0	21	1.07	0	2.44852285480243
hsa-miR-215-5p	0	4199	65.18	13	305.688809742289
hsa-miR-216a-3p	0	284	8.82	3	22.6967512844751
hsa-miR-216a-5p	0	41	0.93	0	3.10849756968587
hsa-miR-216b-3p	0	17	0.59	0	1.68188381453834
hsa-miR-216b-5p	0	15	1.51	1	2.5053590629558
hsa-miR-217-3p	0	6	0.13	0	0.544864489957598
hsa-miR-217-5p	0	77	3.06	1	8.84006220107133
hsa-miR-218-1-3p	0	11	0.4	0	1.0083270292706
hsa-miR-218-2-3p	0	14	1	0	1.87887038255945
hsa-miR-218-5p	0	361	12.18	3	31.4374765632107
hsa-miR-219a-1-3p	0	40	2.53	1	5.59325663252534
hsa-miR-219a-2-3p	0	47	3.05	1	6.28057417422719
hsa-miR-219a-5p	0	831	53.92	24	108.666180727041
hsa-miR-219b-3p	0	87	6.65	4	9.59281826170812
hsa-miR-219b-5p	0	59	3.09	1	5.58751197489164
hsa-miR-22-3p	0	468	18.45	6	44.7272277265604
hsa-miR-22-5p	0	13	1.77	1	2.30903790795687
hsa-miR-221-3p	0	38	4.3	2	5.63125895348576
hsa-miR-221-5p	0	645	14.86	1	71.1692472264318
hsa-miR-222-3p	0	59	5.18	2	8.26286494517878
hsa-miR-222-5p	0	315	8.58	1	26.5073686913391
hsa-miR-223-3p	0	263	14.15	5	29.2704715988951
hsa-miR-223-5p	0	78	2.42	1	6.25899973615616
hsa-miR-224-3p	0	12	0.43	0	1.24086122087988
hsa-miR-224-5p	0	58	2.3	1	5.8447459484577
hsa-miR-2276-3p	0	55	4.18	2	7.44706294354536
hsa-miR-2276-5p	0	36	1.46	0	3.2734169075605
hsa-miR-2277-3p	0	1447	14.06	3	95.5002518230631
hsa-miR-2277-5p	0	110	7.32	2	13.4879988752931
hsa-miR-2278	0	175	3.73	1	12.6474008617206
hsa-miR-2278-3p:Novel	0	7137	228.2	71	586.002261523436
hsa-miR-2355-3p	0	28	0.61	0	2.07349782296582
hsa-miR-2355-5p	0	16	0.35	0	1.24765578617719
hsa-miR-2392	0	183	17.74	8	29.4127164355152
hsa-miR-2392-5p:Novel	0	194	13.79	6	23.9092456494765
hsa-miR-23a-3p	0	29	2.16	1	4.1313574703572
hsa-miR-23a-5p	0	29	1.78	1	3.15572471715363
hsa-miR-23b-3p	0	62	1.78	1	4.7689706697646
hsa-miR-23b-5p	0	32	1.18	0	2.67848160839417
hsa-miR-23c	0	3703	110.31	12	400.76145062412
hsa-miR-23c-5p:Novel	0	195	8.48	3	18.5186439339863
hsa-miR-24-1-5p	0	51	0.69	0	3.51359965935614
hsa-miR-24-2-5p	0	60	2.39	1	5.83805738367614
hsa-miR-24-3p	0	120	7.73	3	14.6558164376333
hsa-miR-2467-3p	0	49	2.22	1	5.1830271950133
hsa-miR-2467-5p	0	59	3.85	1	7.55717930219178
hsa-miR-25-3p	0	303	8.15	2	31.2630484819505
hsa-miR-25-5p	0	139	4.01	1	10.7849195026392
hsa-miR-2681-3p	0	1397	59.51	10	166.552780289521
hsa-miR-2681-5p	0	1305	31.41	0	115.433520689109
hsa-miR-2682-3p	0	19	1.19	0	2.44094827961878
hsa-miR-2682-5p	0	63	3.72	2	6.65299613370758
hsa-miR-26a-1-3p	0	16	0.52	0	1.4741495065957
hsa-miR-26a-2-3p	0	21	2	1	3.19684361313982
hsa-miR-26a-5p	0	23	2.49	1	3.68959414139585
hsa-miR-26b-3p	0	276	2.15	0	18.0959776547535
hsa-miR-26b-5p	0	314	8.86	2	31.3018951964391
hsa-miR-27a-3p	0	219	10.61	5	20.3490273481338
hsa-miR-27a-5p	0	49	2.75	1	4.87342374421477
hsa-miR-27b-3p	0	158	6.78	2	17.5891616448919
hsa-miR-27b-5p	0	155	5.36	2	12.2801338404458
hsa-miR-28-3p	0	73	2.99	1	6.30577231911179
hsa-miR-28-5p	0	23	0.96	0	2.10046260858076
hsa-miR-2861	0	280	27.61	15	37.9428832214167
hsa-miR-2861-5p:Novel	0	725	63.69	29	102.251501782095
hsa-miR-2909	0	15	1.34	1	2.00238499204233
hsa-miR-2909-3p:Novel	0	334	17.32	6	33.5676657309594
hsa-miR-296-3p	0	18	2	1	3.11627797175055
hsa-miR-296-5p	0	7	0.26	0	0.738560331341273
hsa-miR-297	0	3	0.11	0	0.373229132304182
hsa-miR-297-3p:Novel	0	15	1.03	0	2.43512844124927
hsa-miR-298	0	87	4.65	2	9.0255483169275
hsa-miR-298-3p:Novel	0	522	13.19	5	36.9335196663478
hsa-miR-299-3p	0	38	1.58	1	3.66402479484008
hsa-miR-299-5p	0	5	0.19	0	0.616962151900189
hsa-miR-29a-3p	0	68	3.44	1	6.47187137818043
hsa-miR-29a-5p	0	14	0.41	0	1.29062660525296
hsa-miR-29b-1-5p	0	268	3.73	1	19.4169785062982
hsa-miR-29b-2-5p	0	47	3.81	1	6.99886352008234
hsa-miR-29b-3p	0	305	8.43	3	24.1804654418247
hsa-miR-29c-3p	0	239	3.46	1	16.5070439397856
hsa-miR-29c-5p	0	9	0.69	0	1.31920671199454
hsa-miR-300	0	2003	69.91	17	210.497689020628
hsa-miR-300-5p:Novel	0	31	2.81	1	4.71987224625998
hsa-miR-301a-3p	0	16	0.58	0	1.48981545709411
hsa-miR-301a-5p	0	38	0.76	0	2.89769317241733
hsa-miR-301b-3p	0	46	2.42	1	5.71256012656714
hsa-miR-301b-5p	0	11	0.79	0	1.50016031899415
hsa-miR-302a-3p	0	76	1.03	0	5.19896777701362
hsa-miR-302a-5p	0	143	1.71	0	9.9904553384156
hsa-miR-302b-3p	0	12	0.27	0	1.02868795309337
hsa-miR-302b-5p	0	71	2.25	1	6.81088760920037
hsa-miR-302c-3p	0	14	0.55	0	1.38896419969136
hsa-miR-302c-5p	0	363	23.81	9	42.5025510904161
hsa-miR-302d-3p	0	11	0.28	0	1.05720989546094
hsa-miR-302d-5p	0	7	0.55	0	1.17403082559971
hsa-miR-302e	0	98	3.62	1	10.9778390193069
hsa-miR-302e-3p:Novel	0	350	7.76	3	25.6141003559185
hsa-miR-302f	0	11	0.52	0	1.46535139090624
hsa-miR-302f-5p:Novel	0	2	0.12	0	0.358824977958429
hsa-miR-3059-3p	0	912	19.11	2	78.5337703990369
hsa-miR-3059-5p	0	167	2.07	0	11.5506570360129
hsa-miR-3064-3p	0	3	0.15	0	0.453637070445857
hsa-miR-3064-5p	0	1572	94.15	37	205.198471444461
hsa-miR-3065-3p	0	10	0.73	0	1.54308887610595
hsa-miR-3065-5p	0	25	1.57	0	3.23176685492438
hsa-miR-3074-3p	0	137	3.33	1	10.5764638694997
hsa-miR-3074-5p	0	672	17.43	5	52.1098426049718
hsa-miR-3085-3p	0	17	0.61	0	1.52204947395095
hsa-miR-3085-5p	0	332	23.69	10	37.5072263768851
hsa-miR-30a-3p	0	228	5.15	1	21.3083314780943
hsa-miR-30a-5p	0	9788	51.31	4	640.821415654843
hsa-miR-30b-3p	0	46	3.18	2	5.02083125439668
hsa-miR-30b-5p	0	60	2.58	1	5.97946760630219
hsa-miR-30c-1-3p	0	109	8.15	2	17.8932464897313
hsa-miR-30c-2-3p	0	128	4.88	2	10.1757477047002
hsa-miR-30c-5p	0	183	13.27	6	23.0886132319333
hsa-miR-30d-3p	0	28	0.67	0	2.10078845216829
hsa-miR-30d-5p	0	478	14.89	5	42.0320638441883
hsa-miR-30e-3p	0	144	6.27	2	13.914450077917
hsa-miR-30e-5p	0	130	6	3	11.5698776555985
hsa-miR-31-3p	0	36	1.34	0	3.39130136772024
hsa-miR-31-5p	0	163	6.06	2	15.7708754373867
hsa-miR-3115	0	33	0.81	0	2.48763406078227
hsa-miR-3115-3p:Novel	0	121	5.13	2	12.9041789106475
hsa-miR-3116	0	69	2.44	1	5.5341680881058
hsa-miR-3116-5p:Novel	0	71	0.93	0	5.06802913792962
hsa-miR-3117-3p	0	67	1.32	0	4.78525836782976
hsa-miR-3117-5p	0	107	1.57	0	7.87101884728038
hsa-miR-3118	0	113	5.14	1	14.1947059628445
hsa-miR-3118-2-5p:Novel, hsa-miR-3118-3-5p:Novel, hsa-miR-3118-4-5p:Novel	0	47	2.2	1	4.49881177478389
hsa-miR-3119	0	21	1	0	2.13347700665628
hsa-miR-3119-3p:Novel	0	49	2.47	1	5.99715042588759
hsa-miR-3120-3p	0	76	1.95	0	6.62589680795692
hsa-miR-3120-5p	0	33	2.17	1	4.1652984779472
hsa-miR-3121-3p	0	201	4.68	1	19.9808634584053
hsa-miR-3121-5p	0	12	0.25	0	1.08290017258277
hsa-miR-3122	0	52	2.53	1	5.75431194533154
hsa-miR-3122-3p:Novel	0	509	8.92	3	35.364884287928
hsa-miR-3123	0	191	8.92	4	16.7394600706581
hsa-miR-3123-5p:Novel	0	45	3.62	1	7.4088611753723
hsa-miR-3124-3p	0	20	0.38	0	1.88574997868027
hsa-miR-3124-5p	0	79	3.7	2	6.82836528338899
hsa-miR-3125	6	65239	3592.79	1871	5894.90395320778
hsa-miR-3125-3p:Novel	0	172	14.22	7	22.8488131539156
hsa-miR-3126-3p	0	8	0.25	0	0.764408244645019
hsa-miR-3126-5p	0	45	2.62	1	5.62581946080695
hsa-miR-3127-3p	0	196	6.31	2	18.5474404629933
hsa-miR-3127-5p	0	576	31.21	15	59.3023837394601
hsa-miR-3128	0	11	0.45	0	1.22400452011651
hsa-miR-3128-3p:Novel	0	607	4.89	1	39.9640095411595
hsa-miR-3129-3p	0	8	0.46	0	1.12176722138723
hsa-miR-3129-5p	0	55	1.82	0	4.9626994043692
hsa-miR-3130-3p	0	364	23.25	11	42.0350614241254
hsa-miR-3130-5p	0	131	8.39	4	15.3000815903092
hsa-miR-3131	0	127	2.5	1	9.5027783884138
hsa-miR-3131-3p:Novel	0	270	8.8	3	24.1794226523035
hsa-miR-3132	0	140	7.63	2	16.1004735300262
hsa-miR-3132-3p:Novel	0	215	8.36	3	19.1200513924741
hsa-miR-3133	0	31	2.19	1	4.30000550677497
hsa-miR-3133-3p:Novel	0	349	6.84	3	24.1866952297303
hsa-miR-3134	0	429	5.98	1	30.7141220961521
hsa-miR-3134-5p:Novel	0	29	0.8	0	2.49388774784681
hsa-miR-3135a	0	239	11.64	4	23.4441222576734
hsa-miR-3135a-3p:Novel	0	222	9.58	4	20.4834811097152
hsa-miR-3135b	0	115	8.6	5	12.6040629145339
hsa-miR-3135b-3p:Novel	0	128	6.91	3	12.8143715221532
hsa-miR-3136-3p	0	3	0.22	0	0.501699051952668
hsa-miR-3136-5p	0	1605	38.57	11	118.053012983577
hsa-miR-3137	0	1020	116.76	71	152.110101020997
hsa-miR-3137-3p:Novel	0	1266	80.27	29	152.056965570315
hsa-miR-3138	0	89	3.7	2	7.7060684654574
hsa-miR-3138-5p:Novel	0	11325	400.74	152	938.915508459652
hsa-miR-3139	0	36	3.31	1	5.71979651923039
hsa-miR-3139-3p:Novel	0	128	3.39	1	11.2784575040325
hsa-miR-3140-3p	0	38	2.3	1	4.10790341958788
hsa-miR-3140-5p	0	32	1.34	0	3.11318953644534
hsa-miR-3141	0	42	2.73	1	5.39013330750413
hsa-miR-3141-3p:Novel	0	297	30.56	17	40.3421438127868
hsa-miR-3142	0	61	2.85	1	6.68430434097051
hsa-miR-3142-5p:Novel	0	27	1.18	0	2.93100575424029
hsa-miR-3143	0	12	1.36	1	2.13290464527598
hsa-miR-3143-3p:Novel	0	127	6.33	3	13.3576805847908
hsa-miR-3144-3p	0	183	2.4	0	12.9966639997384
hsa-miR-3144-5p	0	43	0.65	0	3.06055383686803
hsa-miR-3145-3p	0	2453	19.7	1	164.685475695301
hsa-miR-3145-5p	0	21	0.76	0	2.20553845616082
hsa-miR-3146	0	95	4.96	2	9.44301667157805
hsa-miR-3146-5p:Novel	0	86	2.7	1	8.02457561636143
hsa-miR-3147	0	98	7.16	3	13.0180783553831
hsa-miR-3147-3p:Novel	0	68	8.94	5	11.4349800473952
hsa-miR-3148	0	51	3.04	1	7.24171713554081
hsa-miR-3148-3p:Novel	0	112	3.64	1	10.090050736817
hsa-miR-3149	0	450	20.41	9	43.3744852942939
hsa-miR-3149-5p:Novel	0	532	6.77	1	40.0026661276632
hsa-miR-3150a-3p	0	39	2.18	1	4.02994470726878
hsa-miR-3150a-5p	0	45	0.97	0	3.18788474479093
hsa-miR-3150b-3p	0	28	2.39	1	3.66934752946535
hsa-miR-3150b-5p	0	84	2.78	1	7.24580581707309
hsa-miR-3151-3p	0	22	0.97	0	2.28160307554724
hsa-miR-3151-5p	0	39	3.34	1	5.74164107273178
hsa-miR-3152-3p	0	771	5.76	1	50.5022641944617
hsa-miR-3152-5p	0	15	0.6	0	1.61095020848545
hsa-miR-3153	0	116	5.22	2	10.8541257946606
hsa-miR-3153-5p:Novel	0	63	3.42	1	7.37738305037063
hsa-miR-3154	0	4615	111.91	14	433.566331019278
hsa-miR-3154-5p:Novel	0	284	22.52	11	33.938466133557
hsa-miR-3155a	0	411	26.58	13	43.591005731365
hsa-miR-3155a-5p:Novel	0	151	3.89	2	10.8498964543856
hsa-miR-3155b	0	396	24.78	11	43.8698307127611
hsa-miR-3155b-5p:Novel	0	37	1.18	0	3.81378465329104
hsa-miR-3156-3p	0	1640	53.69	12	145.133382896018
hsa-miR-3156-5p	0	135	7.26	3	12.6811952410781
hsa-miR-3157-3p	0	327	12.49	2	39.3830788287517
hsa-miR-3157-5p	0	26	0.86	0	2.29159463024895
hsa-miR-3158-3p	0	36	2.97	1	4.5451706558999
hsa-miR-3158-5p	0	17	1.43	1	2.32590503803727
hsa-miR-3159	0	118	11.58	5	17.395121147936
hsa-miR-3159-3p:Novel	0	974	15.02	4	68.7700720762943
hsa-miR-3160-3p	0	241	24.63	13	34.8060212674733
hsa-miR-3160-5p	0	199	20.04	11	29.399936397459
hsa-miR-3161	0	48	1.48	0	4.95676139213842
hsa-miR-3161-3p:Novel	0	139	6.65	3	12.8225355906278
hsa-miR-3162-3p	0	12	0.39	0	1.05298437028333
hsa-miR-3162-5p	0	167	7.38	4	13.7916710167108
hsa-miR-3163	0	462	9.43	3	34.2184338267594
hsa-miR-3163-3p:Novel	0	66	2.59	1	5.5679371342301
hsa-miR-3164	0	181	11.94	5	20.444841092682
hsa-miR-3164-3p:Novel	0	203	16.04	7	28.9409812913396
hsa-miR-3165	0	39	0.97	0	2.94323107249002
hsa-miR-3165-3p:Novel	0	115	2.98	1	8.58700218249458
hsa-miR-3166	0	21	1.69	1	2.57485248603649
hsa-miR-3166-5p:Novel	0	9	0.35	0	0.944908385682515
hsa-miR-3167	0	28	2.29	1	4.08093438505002
hsa-miR-3167-5p:Novel	0	5446	30.99	1	358.948764370688
hsa-miR-3168	0	1905	31.85	2	162.988625350017
hsa-miR-3168-3p:Novel	0	684	54.91	22	87.2297778844507
hsa-miR-3169	0	5727	150.78	56	415.064971217168
hsa-miR-3169-3p:Novel	0	2536	35.21	10	169.232192456817
hsa-miR-3170	0	1132	57.32	22	110.542019986182
hsa-miR-3170-3p:Novel	0	320	20.6	9	35.0847543551387
hsa-miR-3171	0	1290	12.94	1	92.0478969865568
hsa-miR-3171-3p:Novel	0	73	4.6	2	9.0377744755427
hsa-miR-3173-3p	0	44	1.72	1	3.85897238911548
hsa-miR-3173-5p	0	41	0.47	0	2.79937544568357
hsa-miR-3174	0	29	1.99	1	4.06519225518664
hsa-miR-3174-3p:Novel	0	247	17.71	7	29.9990053359847
hsa-miR-3175	0	39	3.27	2	5.30450591853856
hsa-miR-3175-3p:Novel	0	68	6.36	4	9.0729126834328
hsa-miR-3176	0	301	8.66	4	25.6115319686169
hsa-miR-3176-5p:Novel	0	966	40.18	13	93.5700555637821
hsa-miR-3177-3p	0	143	4.67	1	15.3209750877026
hsa-miR-3177-5p	0	179	3.92	0	14.9773693425338
hsa-miR-3178	0	212	8.88	4	18.3287313547296
hsa-miR-3178-3p:Novel	0	261	19.4	11	28.0316846459076
hsa-miR-3179	0	59	2.48	1	6.41123749811335
hsa-miR-3179-5p:Novel	0	41	1.9	1	4.05178207585654
hsa-miR-3180	0	962	66.17	34	93.0827049776768
hsa-miR-3180-3p	0	6209	165.26	37	504.315168245611
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	0	1018	36.89	16	94.8324543128666
hsa-miR-3180-5p	0	711	60.27	36	85.2886453550005
hsa-miR-3181	0	206	8.7	4	17.851273734749
hsa-miR-3181-3p:Novel	0	156	7.36	1	20.5064575065324
hsa-miR-3182	0	137	2.88	0	12.3911450860219
hsa-miR-3182-3p:Novel	0	199	8.61	4	17.6564037689053
hsa-miR-3183	0	105	8.17	5	11.0205789179267
hsa-miR-3183-3p:Novel	0	58	3.79	1	8.18485554503129
hsa-miR-3184-3p	0	20	1.02	0	2.51108980313489
hsa-miR-3184-5p	0	56	6.13	3	8.72277472340313
hsa-miR-3185	0	103	6.41	3	12.4111404266231
hsa-miR-3185-3p:Novel	0	1393	45.8	9	156.751141437208
hsa-miR-3186-3p	0	249	7.64	3	18.9112529760032
hsa-miR-3186-5p	0	29	1.21	0	2.72021113449854
hsa-miR-3187-3p	0	112	4.05	1	11.6959469635291
hsa-miR-3187-5p	0	111	6.49	3	11.3923414943544
hsa-miR-3188	0	85	11.47	7	13.4013008542035
hsa-miR-3188-5p:Novel	0	121	4.12	1	9.7699034674609
hsa-miR-3189-3p	0	93	3.77	1	10.5273627412954
hsa-miR-3189-5p	0	201	4.5	0	18.3322131364059
hsa-miR-3190-3p	0	415	40.19	22	59.9775709150974
hsa-miR-3190-5p	0	16	0.97	0	2.19297990647627
hsa-miR-3191-3p	0	1519	22.73	6	105.690350026844
hsa-miR-3191-5p	0	5	0.28	0	0.751053721819585
hsa-miR-3192-3p	0	24	0.55	0	1.94955435229741
hsa-miR-3192-5p	0	63	3.75	2	6.37548513564374
hsa-miR-3193	0	4	0.46	0	0.904824030718152
hsa-miR-3193-3p:Novel	0	487	12.77	3	37.4392003790933
hsa-miR-3194-3p	0	57	1.87	0	5.73710598491409
