ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_inactive	Average_active	Median_inactive	Median_active
hsa-miR-3714	3.70271542198573	-0.00809517611517945	0.27567871790943	-0.0293645304815985	0.976573861173395	NA	active_vs_inactive	NA	4.69715164971328	3.4197542456395	0.717961690636749	1.36015715486147
hsa-miR-3714-3p:Novel	107.038197915741	0.0128753480216673	0.157326421476797	0.0818384343888875	0.934775192344278	0.97823724175769	active_vs_inactive	FALSE	114.507375990552	107.071432193002	68.5527737697671	75.2180485010845
hsa-miR-371a-3p	24.9461613780939	0.12220159602966	0.234841073069401	0.520358702302246	0.602813588281154	0.937951402263099	active_vs_inactive	FALSE	22.2198097945605	25.2403214643362	9.16933100672802	14.9390448191287
hsa-miR-371a-5p	74.6577728226928	-0.113076347447024	0.144120432982779	-0.784596223496885	0.432690344968049	0.868329539821083	active_vs_inactive	FALSE	80.6995508977153	72.057577171231	56.6053191399306	56.3875278689194
hsa-miR-371b-3p	0.217750570406337	0.22951013098657	0.543180131024276	0.422530423846289	0.672637898858993	NA	active_vs_inactive	NA	0.204316674687368	0.259709412186814	0	0
hsa-miR-371b-5p	0.642160577711775	-0.0411736236400359	0.31710069645109	-0.129844002554522	0.896689848572089	NA	active_vs_inactive	NA	0.791399731414013	0.547528138720449	0	0
hsa-miR-372-3p	1.5659966748347	-0.309103923874924	0.306797078141759	-1.00751912549864	0.313685371603811	NA	active_vs_inactive	NA	1.80928691230186	1.30959316020742	0.313814383652428	0.370959487290253
hsa-miR-372-5p	1.40061770387684	0.140282792995383	0.267077197897074	0.525251852647658	0.599408122982684	NA	active_vs_inactive	NA	1.30530191464762	1.46984549184537	0.565729016964851	0.585134620059934
hsa-miR-373-3p	1.77494141710039	-0.58138682178605	0.315721476905052	-1.84145477680282	0.0655549419381442	NA	active_vs_inactive	NA	2.43029431345167	1.16965912970537	0.38735894157885	0.398592990087618
hsa-miR-373-5p	1.12250730395634	-0.0691655321149521	0.306497138536782	-0.225664528044694	0.821462348952145	NA	active_vs_inactive	NA	1.21189528039312	0.992779699268627	0.0693059830031905	0
hsa-miR-374a-3p	0.508420808219283	0.136230386386811	0.398328006837105	0.34200554329217	0.732346720597682	NA	active_vs_inactive	NA	0.785797618144959	0.4094121337398	0	0
hsa-miR-374a-5p	1.02108653845735	-0.366992936298725	0.476519291143505	-0.770153366546924	0.441208922630372	NA	active_vs_inactive	NA	2.21681082217578	0.447236694410816	0	0
hsa-miR-374b-3p	0.142519489096226	-0.111838300302444	0.706451045010074	-0.158310050062774	0.874212489203117	NA	active_vs_inactive	NA	0.156768001052444	0.140556490026151	0	0
hsa-miR-374b-5p	0.99682996564266	-0.347863113888587	0.452056620310445	-0.769512265188586	0.441589266182161	NA	active_vs_inactive	NA	1.67695875777848	0.685243947993283	0	0
hsa-miR-374c-3p	0.122129700259428	0.0127707058935572	0.870438644381093	0.0146715750455192	0.988294196745696	NA	active_vs_inactive	NA	0.127470910094855	0.132154766251165	0	0
hsa-miR-374c-5p	0.515306653677522	-0.143506205170058	0.409116569526626	-0.350770943685082	0.725760197406338	NA	active_vs_inactive	NA	0.698427073609031	0.44975587362279	0	0
hsa-miR-375-3p	90.4519753257598	0.0699449106801786	0.26507522458058	0.263868155882355	0.791881514160036	0.97823724175769	active_vs_inactive	FALSE	180.186805144989	50.5194290342244	5.48648166287108	7.85495184169374
