miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-193b-5p	5.23191036699048	-1.1416537061442	0.000975975398939069	0.0669887112988897	4060_40	101_87	FALSE	hsa-miR-6783-5p	5.80235515875396	-1.45049169405455	0.00174741020102931	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-155-5p	11.0623443843702	-1.3918322710085	0.00508299545478267	0.282540161986578	60_4060	44_101	FALSE
hsa-miR-4488-3p:Novel	175.426580904601	-0.880726598566654	0.00101978288478166	0.0669887112988897	4060_40	101_87	FALSE	hsa-miR-8086	16.0148244111381	-0.914186550563673	0.00170374203338786	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-581	4.23461943593558	1.08298570613853	0.00503780804082101	0.282540161986578	60_4060	44_101	FALSE
hsa-miR-4693-3p	189.070431029577	-0.760603881197021	0.00103737498348333	0.0669887112988897	4060_40	101_87	FALSE	hsa-miR-1268b-3p:Novel	8.80378561310489	-1.17072421637524	0.00183335834688922	0.090532981224958	60_40	44_87	FALSE	hsa-miR-3189-5p	3.48575716223207	-2.03368234996968	0.00539561364896568	0.285967523395181	60_4060	44_101	FALSE
hsa-miR-4717-5p	14.0126745662293	-0.859097740302841	0.0010459384843327	0.0669887112988897	4060_40	101_87	FALSE	hsa-miR-1471-3p:Novel	10.4427976029987	1.153053632661	0.00198678956541258	0.0958279432247837	60_40	44_87	FALSE	hsa-miR-4651	1.61870843019875	0.933315974304375	0.00532174154245044	0.285967523395181	60_4060	44_101	FALSE
hsa-miR-12128	14.2123011526562	-0.646283980503949	0.0011861304491507	0.0700416433097744	4060_40	101_87	FALSE	hsa-let-7f-5p	1.94152510180154	-1.34457592412353	0.00249338928604877	0.097571497721984	60_40	44_87	FALSE	hsa-miR-9898	11.4102099454453	-0.714466493956587	0.0055903562119675	0.289555041069862	60_4060	44_101	FALSE
hsa-miR-187-3p	6.3442167743011	-0.92423008557037	0.00130496439373353	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-1197-5p:Novel	2.7890950053583	-1.4976677746984	0.0024270210348566	0.097571497721984	60_40	44_87	FALSE	hsa-miR-1288-3p	12.4383860889418	0.788731910919107	0.00713566982713541	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-3908-3p:Novel	1.77197171710505	-0.889835949940188	0.00122632892104382	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-1285-3p	27.791787570333	-0.800864978119536	0.00238508137237377	0.097571497721984	60_40	44_87	FALSE	hsa-miR-144-3p	21.8779645163867	-1.29167382768111	0.00639206069630268	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-3975-5p:Novel	1.13486877044919	-1.28673853257748	0.00129792747471259	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-1910-3p	33.5004300313364	-1.22087118090981	0.0024298382570442	0.097571497721984	60_40	44_87	FALSE	hsa-miR-221-5p	8.57803253061763	-1.40238210232965	0.00710303659164402	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-598-3p	1.51178433682195	-1.16880339399433	0.00116601280622104	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-3164	9.474764022683	-1.25282102482476	0.0022944880892694	0.097571497721984	60_40	44_87	FALSE	hsa-miR-3074-5p	10.6551568746815	0.975933373908979	0.00586349571845609	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-663b	6.72171787344625	-0.660599958041267	0.001244573819561	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-4771-5p:Novel	20.1720645290357	-1.11490233660895	0.00240261417965196	0.097571497721984	60_40	44_87	FALSE	hsa-miR-4426	7.12737654478308	-1.64148773986525	0.00730581560153502	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-6770-5p	2.59974046284136	-1.1351742063589	0.00132250016416422	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-5572	10.9517016457194	0.855893395055681	0.00245739757504103	0.097571497721984	60_40	44_87	FALSE	hsa-miR-4437	70.4018938861542	0.47903472090874	0.00734895463104105	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-6858-5p	7.00816261395465	-0.899839005565474	0.00130298916699007	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-562-5p:Novel	5.38045446532634	-1.1991095358435	0.0020917478171488	0.097571497721984	60_40	44_87	FALSE	hsa-miR-4511	2.79143187857452	-0.928459998111617	0.00633719000757453	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-6892-5p	4.85964828207863	1.08497339563448	0.00121874560498134	0.0700416433097744	4060_40	101_87	FALSE	hsa-miR-608-3p:Novel	15.3107251319901	0.863796511743902	0.00238848993676792	0.097571497721984	60_40	44_87	FALSE	hsa-miR-4700-3p	2.13921578394358	-1.73749722883355	0.00706326737589475	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-31-3p	1.10740177500876	-1.34844667269737	0.00140380933273287	0.0715942759693766	4060_40	101_87	FALSE	hsa-miR-6133	2.76584822176414	-1.10172628392174	0.00248608012348014	0.097571497721984	60_40	44_87	FALSE	hsa-miR-4712-3p	2.74216062544006	-0.975506420194487	0.00696650525456131	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-3164	9.474764022683	-0.922768459944045	0.00138152995098448	0.0715942759693766	4060_40	101_87	FALSE	hsa-miR-186-5p	8.10023760481085	-1.5667447827001	0.00260343760934251	0.0999912889217844	60_40	44_87	FALSE	hsa-miR-515-5p	2.41282219467427	-0.926588559169816	0.00652741283511339	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-6818-5p	12.567807409403	0.982067456104128	0.00143217254570822	0.0717127852887354	4060_40	101_87	FALSE	hsa-miR-3169	94.860499469819	0.949995572351276	0.00269944287726128	0.101793536862544	60_40	44_87	FALSE	hsa-miR-545-3p	1.44036438250697	-1.51306914862303	0.00745981131544757	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-4330	25.1131552197436	-0.879351806564359	0.00146612937144148	0.0721021480169614	4060_40	101_87	FALSE	hsa-miR-147a	2.23200085798597	1.23071748262081	0.00288082138064525	0.103014199025142	60_40	44_87	FALSE	hsa-miR-5739	6.08705091213473	-1.06886937169512	0.0064699441058026	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-3169-3p:Novel	23.0637721181966	0.880311614539122	0.00151989488187944	0.0721688018051031	4060_40	101_87	FALSE	hsa-miR-6809-5p	5.16697824919892	-1.19788860600642	0.00281960155042062	0.103014199025142	60_40	44_87	FALSE	hsa-miR-580-3p	7.11434550097862	-1.12882152899237	0.00598539157691668	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-6809-5p	5.16697824919892	-0.884710471535214	0.00150171964905492	0.0721688018051031	4060_40	101_87	FALSE	hsa-miR-8065-5p:Novel	4.11016412531624	-1.4760817672456	0.00285593608140499	0.103014199025142	60_40	44_87	FALSE	hsa-miR-6818-5p	12.567807409403	-1.04982137532935	0.00674477864172691	0.2931191377225	60_4060	44_101	FALSE
hsa-miR-8088-3p:Novel	10.0053129372095	-1.00702287059209	0.00158792176027835	0.0741209580984164	4060_40	101_87	FALSE	hsa-miR-1827	21.254707762468	-1.76874730006335	0.00304567465209461	0.10527882047407	60_40	44_87	FALSE	hsa-miR-5697-3p:Novel	3.03731776585081	0.786511882098426	0.00782332636218685	0.301446651327076	60_4060	44_101	FALSE
hsa-miR-3196-3p:Novel	16.3702044826919	-0.71292838114196	0.00161613441997974	0.0741805698770699	4060_40	101_87	FALSE	hsa-miR-4700-3p	2.13921578394358	-2.17562882071821	0.0030045947555114	0.10527882047407	60_40	44_87	FALSE	hsa-miR-8060	7.51486272345169	-1.14395829405478	0.00793628744169572	0.301446651327076	60_4060	44_101	FALSE
