ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-6758-3p	0.0947584961691816	1.14438368040684	2.38597208563225	0.479629953467622	0.631490543555096	0.999770134585052	nowine_vs_abstemious	FALSE	0.018	0.073	0.227	0	0	0
hsa-miR-6758-5p	9.54848703570194	-0.410817525833073	0.383991811073383	-1.06986012197683	0.284682275301329	0.999770134585052	nowine_vs_abstemious	FALSE	14.875	8.917	8.567	9.124	6.614	7.39
hsa-miR-6759-3p	0.321665923858619	0.820616441309679	0.931850528486704	0.880630976989769	0.378517586590262	0.999770134585052	nowine_vs_abstemious	FALSE	0.356	0.288	0.425	0	0	0
hsa-miR-6759-5p	1.20308767608517	0.348728569765977	0.66642263028669	0.523284405296916	0.600776351618053	0.999770134585052	nowine_vs_abstemious	FALSE	1.875	1.199	0.741	0	0.289	0
hsa-miR-676-3p	1.77662875968502	-0.25995330220889	0.75313490723244	-0.345161669858254	0.72997283301991	0.999770134585052	nowine_vs_abstemious	FALSE	1.873	1.658	2.101	0.333	0.335	0.327
hsa-miR-676-5p	1.54737347825169	0.0189450914325398	0.851978403808435	0.0222365864531932	0.982259233029774	0.999770134585052	nowine_vs_abstemious	FALSE	2.193	1.642	0.524	0.228	0	0
hsa-miR-6760-3p	0.570570444731795	1.39247497301658	0.916158696879385	1.51990586102563	0.128534637210722	0.914124072843688	nowine_vs_abstemious	FALSE	0.125	0.525	0.954	0	0	0
hsa-miR-6760-5p	54.7090233785297	-0.129258866553875	0.438712834859359	-0.29463206061731	0.768274967935432	0.999770134585052	nowine_vs_abstemious	FALSE	48.607	56.209	45.884	36.483	31.21	32.905
hsa-miR-6761-3p	0.0981704454366506	0.578336272488752	2.47261837213947	0.233896293502154	0.815065490768707	0.999770134585052	nowine_vs_abstemious	FALSE	0.108	0.073	0.205	0	0	0
hsa-miR-6761-5p	1.18817996493389	-0.26094134840847	0.667113232891468	-0.391150011037064	0.695686355951991	0.999770134585052	nowine_vs_abstemious	FALSE	2.326	1.03	1.232	0.44	0.377	0.362
hsa-miR-6762-3p	0.210835261887391	-0.0935500792881618	1.24715198670402	-0.0750109692206773	0.940205984306878	0.999770134585052	nowine_vs_abstemious	FALSE	0.322	0.186	0.246	0	0	0
hsa-miR-6762-5p	8.35853630291419	-0.22028645249314	0.521018917316381	-0.422799336399862	0.672441671870926	0.999770134585052	nowine_vs_abstemious	FALSE	16.292	7.507	7.262	4.183	3.837	2.697
hsa-miR-6763-3p	0.231829623673726	0.122639792195786	1.55383332560722	0.0789272505452669	0.937090488048531	0.999770134585052	nowine_vs_abstemious	FALSE	0.989	0.137	0.263	0	0	0
hsa-miR-6763-5p	15.545869999418	-0.242424448116771	0.382672774818631	-0.633503254135781	0.526405056488315	0.999770134585052	nowine_vs_abstemious	FALSE	32.011	14.457	10.116	5.995	3.947	3.342
hsa-miR-6764-3p	0.301958724855526	-0.379641868302312	1.00953702045231	-0.376055420069903	0.706875695451538	0.999770134585052	nowine_vs_abstemious	FALSE	1.232	0.214	0.202	0	0	0
hsa-miR-6764-5p	1.42155688137126	-0.0620498358500228	0.696959944133699	-0.0890292711543832	0.929058647463823	0.999770134585052	nowine_vs_abstemious	FALSE	4.216	1.15	1.085	0	0	0
hsa-miR-6765-3p	2.61229931416921	-0.70513690774319	0.58619897579039	-1.20289686073305	0.229016235318886	0.975221792948047	nowine_vs_abstemious	FALSE	6.138	2.465	1.254	1.99	0.994	0.658
hsa-miR-6765-5p	4.19366919911323	-1.75934596091245	0.513736555849967	-3.42460730286487	0.000615688656582125	0.214074945893605	nowine_vs_abstemious	FALSE	17.105	3.223	1.703	2.653	1.225	0.656
hsa-miR-6766-3p	0.149418981336984	0.432304768648407	1.54470945299092	0.279861541477178	0.779583734068333	0.999770134585052	nowine_vs_abstemious	FALSE	0.332	0.168	0.281	0	0	0
hsa-miR-6766-5p	2.98624247926597	0.676124586713461	0.474183730773986	1.42587048612962	0.153905730100527	0.923443235003189	nowine_vs_abstemious	FALSE	3.234	3.112	2.524	2.607	1.787	1.551
hsa-miR-6767-3p	0.385933837107211	1.50631975061096	1.07348166183306	1.40320957885652	0.160554352028355	0.931965746248063	nowine_vs_abstemious	FALSE	0.335	0.246	1.085	0	0	0
