ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-211-3p	4.51615130138354	-0.355523986123259	0.310830955444811	-1.14378564906603	0.25271254283656	0.569837501277361	37_53_vs_18_37	FALSE	4.963	2.862	5.916	2.37	1.636	2.161
hsa-miR-211-5p	0.667993158781237	-0.476616145398705	0.408413311317546	-1.16699464045659	0.243212533948729	NA	37_53_vs_18_37	NA	0.926	0.466	0.619	0	0	0
hsa-miR-2110	165.408200417687	0.647000927713903	0.295359788305591	2.19055183992918	0.0284842395028685	0.229440059775683	37_53_vs_18_37	FALSE	116.852	177.728	203.98	47.572	71.602	80.477
hsa-miR-2110-3p:Novel	39.0032362070154	-0.0998501921800033	0.230449935959786	-0.433283662085406	0.664808705905616	0.862374989841043	37_53_vs_18_37	FALSE	29.969	33.726	54.8	15.571	21.212	23.449
hsa-miR-2113	6.31081205811099	0.536115715311402	0.37034864402702	1.44759734903279	0.147729692998259	0.445443599672924	37_53_vs_18_37	FALSE	3.623	6.691	8.789	1.716	1.264	1.702
hsa-miR-2113-5p:Novel	26.2591531501483	-0.18335499196355	0.311085886332324	-0.589403119907783	0.555590884123037	0.791520009160979	37_53_vs_18_37	FALSE	15.18	19.552	45.9	8.456	6.246	7.644
hsa-miR-2114-3p	1.27212899959906	-0.707475485902495	0.357752286533741	-1.97755685297561	0.0479787208364059	0.274968512568546	37_53_vs_18_37	FALSE	1.669	0.933	1.229	0.769	0	0.295
hsa-miR-2114-5p	33.5005150201355	0.585122221370809	0.266335827157007	2.19693395220867	0.0280251635961514	0.227603212696537	37_53_vs_18_37	FALSE	25.544	36.299	38.933	13.481	19.382	19.89
hsa-miR-2115-3p	7.93403263120374	-0.513567738257329	0.314479058607973	-1.63307452181589	0.102453324362506	0.371799036024917	37_53_vs_18_37	FALSE	11.611	8.027	3.844	4.364	2.107	1.816
hsa-miR-2115-5p	0.586126077556621	-0.39612406912896	0.413227672753396	-0.958609733199928	0.337755387394704	NA	37_53_vs_18_37	NA	0.639	0.53	0.592	0	0	0
hsa-miR-2116-3p	0.24304300440881	-0.0762772450485767	0.627253220316141	-0.121605186833688	0.903211705480848	NA	37_53_vs_18_37	NA	0.144	0.312	0.272	0	0	0
hsa-miR-2116-5p	2.00104056077966	-0.311923525932545	0.308934964217332	-1.0096737568141	0.312651619620674	0.623571307158487	37_53_vs_18_37	FALSE	1.83	1.949	2.246	0.978	0.639	1.116
hsa-miR-2117	2.08427647550751	-0.210845641604169	0.284229485623069	-0.741814809051101	0.458199546790696	0.731826644884058	37_53_vs_18_37	FALSE	2.598	1.828	1.819	1.74	0.914	1.027
hsa-miR-2117-5p:Novel	2.23635524444818	-0.13000843112067	0.327756520424102	-0.396661616227939	0.691617008778528	0.880684612953116	37_53_vs_18_37	FALSE	2.013	2.721	1.927	1.04	0.878	0.738
hsa-miR-212-3p	0.190110608471865	-0.405929087815175	0.727251555850522	-0.558168744431822	0.576729161687008	NA	37_53_vs_18_37	NA	0.294	0.136	0.14	0	0	0
hsa-miR-212-5p	0.793672494682036	-0.808775813868312	0.359520728577551	-2.24959438936455	0.0244747049427242	NA	37_53_vs_18_37	NA	1.416	0.426	0.539	0.264	0	0
hsa-miR-214-3p	0.813428317396885	-0.752399771381224	0.429446224597867	-1.75202325293643	0.079769809625328	NA	37_53_vs_18_37	NA	1.316	0.667	0.435	0	0	0
hsa-miR-214-5p	0.317970077631824	-0.236739413722533	0.51835923339614	-0.456709167060621	0.647880100968186	NA	37_53_vs_18_37	NA	0.491	0.236	0.224	0	0	0
hsa-miR-215-3p	2.21699488846253	-0.469460696168764	0.465153193537931	-1.00926039569474	0.312849768437876	0.623571307158487	37_53_vs_18_37	FALSE	4.913	0.746	0.972	0	0	0
hsa-miR-215-5p	406.765194128146	-0.742605029093437	0.369662686210825	-2.00887202521143	0.0445507073796794	0.26983684263041	37_53_vs_18_37	FALSE	888.277	170.971	153.671	13.984	8.328	7.731
hsa-miR-216a-3p	7.14210392085803	-0.458508891745616	0.306327009289245	-1.4967955088566	0.134446475267022	0.42380785023342	37_53_vs_18_37	FALSE	6.763	5.344	9.601	2.38	2.53	4.134
hsa-miR-216a-5p	0.501629417303455	-0.0854402287949063	0.44975904557565	-0.18996889475686	0.849333505042427	NA	37_53_vs_18_37	NA	0.416	0.457	0.645	0	0	0
