ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
hsa-miR-5007-5p	0.696852650814459	-0.71745131828648	0.356255581083601	-2.01386688765479	0.0440235108397598	0.319896434967542	40_60_vs__40	FALSE	0.672	0.635	0.888	0.344	0	0
hsa-miR-5008-3p	0.189292332513778	-0.173898540169454	0.686189754549535	-0.253426313955408	0.799938795596731	NA	40_60_vs__40	NA	0.13	0.278	0.104	0	0	0
hsa-miR-5008-5p	1.36878866465449	0.209944383750621	0.344279114506896	0.60980865496683	0.541988567530771	0.82139538703494	40_60_vs__40	FALSE	1.606	1.438	0.742	0.561	0.646	0
hsa-miR-5009-3p	0.374848496147521	-0.269399201478745	0.566440906507201	-0.475599834658694	0.634359493207802	NA	40_60_vs__40	NA	0.428	0.321	0.393	0	0	0
hsa-miR-5009-5p	2.40545436656712	-0.0824403778160278	0.350554155484274	-0.235171589114784	0.814075556265794	0.940742732564402	40_60_vs__40	FALSE	1.575	3.321	1.947	0.988	0.615	0.762
hsa-miR-500a-3p	3.02929899359665	-0.501942966467657	0.334312625929459	-1.50141791705339	0.133247502559117	0.477872559812525	40_60_vs__40	FALSE	3.436	1.948	4.708	1.479	0.585	1.238
hsa-miR-500a-5p	4.13439119185901	-0.66370484277673	0.322490710624038	-2.05805879336004	0.0395844899532536	0.314413708187832	40_60_vs__40	FALSE	4.968	3.02	5.043	1.479	1.332	2.356
hsa-miR-500b-3p	0.589269919667836	-0.13426733277519	0.451741210874429	-0.297221793237085	0.766297184670989	NA	40_60_vs__40	NA	0.442	0.74	0.534	0	0	0
hsa-miR-500b-5p	3.80678230026301	-0.718346002551982	0.33129536058626	-2.16829478469242	0.0301362649928174	0.28520712642687	40_60_vs__40	FALSE	4.645	2.744	4.59	1.195	1.208	2.243
hsa-miR-501-3p	47.8456996068224	-0.0609361459250052	0.125172686106536	-0.486816635644788	0.626388280195669	0.864129214744946	40_60_vs__40	FALSE	51.553	45.504	45.891	49.098	40.715	36.221
hsa-miR-501-5p	0.810727635717985	-0.306622073846826	0.411005465006149	-0.74602918927669	0.45564978258409	0.76632288091431	40_60_vs__40	FALSE	0.971	0.821	0.472	0	0	0
hsa-miR-5010-3p	0.969351202587457	0.281322936016763	0.407211937241723	0.6908513977324	0.489658931850896	0.784936378531646	40_60_vs__40	FALSE	0.726	0.996	1.389	0	0	0
hsa-miR-5010-5p	10.729243449768	0.0239745647773461	0.244690262267357	0.0979792352797052	0.921948781867166	0.976556517408529	40_60_vs__40	FALSE	10.126	10.86	11.622	5.432	5.601	5.194
hsa-miR-5011-3p	1.1594529816546	-0.0642125432323035	0.356999722698743	-0.179867207590214	0.857256819846953	0.956020935043899	40_60_vs__40	FALSE	1.581	0.972	0.756	0	0	0
hsa-miR-5011-5p	0.312354783549395	-1.04471521014802	0.502188301184635	-2.08032566207456	0.0374956725584111	NA	40_60_vs__40	NA	0.546	0.17	0.176	0	0	0
hsa-miR-502-3p	1.43075733594075	-0.320413884007635	0.328672380773606	-0.974873164740728	0.329623178889267	0.674429594844757	40_60_vs__40	FALSE	1.248	1.383	1.903	0.399	0.39	0.175
