ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	c.drinker.x	c.no_drinker.x	c.drinker.y	c.no_drinker.y
hsa-miR-3151-5p	2.04495905681659	-0.203398181795644	0.283219931535019	-0.718163374636981	0.472656557795815	0.712313404002143	c.drinker_vs_c.no_drinker	FALSE	1.88	2.383	0.836	1.283
hsa-miR-3152-3p	5.60713388171876	0.0346003940850066	0.365045413327909	0.0947838072243527	0.924486548923057	0.968854659498209	c.drinker_vs_c.no_drinker	FALSE	7.494	1.735	0.644	0.922
hsa-miR-3152-5p	0.364736112283304	-0.175117910463475	0.431503002561457	-0.405832426249535	0.684865731337916	NA	c.drinker_vs_c.no_drinker	NA	0.334	0.428	0	0
hsa-miR-3153	3.25274876276215	-0.0352015377685282	0.256890620176575	-0.137029284075581	0.891007648092255	0.955543640196503	c.drinker_vs_c.no_drinker	FALSE	2.875	4.028	1.689	2.407
hsa-miR-3153-5p:Novel	2.15661239853151	-0.0762116323768611	0.268754185684866	-0.283573750424207	0.776737055768641	0.893665214701555	c.drinker_vs_c.no_drinker	FALSE	2.002	2.473	0.924	1.433
hsa-miR-3154	55.9576358365102	-0.207149291606309	0.266183027890564	-0.778221260941829	0.436438584959024	0.681476031077958	c.drinker_vs_c.no_drinker	FALSE	48.029	72.232	10.501	13.098
hsa-miR-3154-5p:Novel	15.4821961297119	0.189950034944313	0.208345801726763	0.911705603712741	0.361923713303437	0.612750590561199	c.drinker_vs_c.no_drinker	FALSE	15.815	14.798	9.848	12.216
hsa-miR-3155a	16.9264639336402	-0.0311316328707892	0.200867064100068	-0.154986249290128	0.876832157789706	0.950086489959479	c.drinker_vs_c.no_drinker	FALSE	16.804	17.178	11.049	13.306
hsa-miR-3155a-5p:Novel	2.32784738648034	-0.132854732951314	0.245033112728348	-0.542190936857587	0.587686978156026	0.789750024246606	c.drinker_vs_c.no_drinker	FALSE	2.137	2.72	1.327	1.554
hsa-miR-3155b	16.5379341248209	0.153484749720795	0.214245009244652	0.716398250124587	0.473745475134742	0.712611080509131	c.drinker_vs_c.no_drinker	FALSE	17.347	14.877	10.935	11.465
hsa-miR-3155b-5p:Novel	0.673987710117989	0.385522427074263	0.417596361946157	0.923193931282308	0.355906150876132	NA	c.drinker_vs_c.no_drinker	NA	0.7	0.621	0	0
hsa-miR-3156-3p	44.4307797318416	0.407931763630694	0.308247372123782	1.32339088836378	0.185705420319442	0.425037004795299	c.drinker_vs_c.no_drinker	FALSE	40.385	52.735	10.542	12.033
hsa-miR-3156-5p	5.05248777892017	0.0658522454272423	0.228660819931181	0.287990944172515	0.773353670653604	0.892979243424443	c.drinker_vs_c.no_drinker	FALSE	4.52	6.146	2.703	4.326
