ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-495-5p	0.814713135116757	-0.25572497038207	0.565126353261715	-0.452509370525925	0.650902072219502	1	_16_vs_former	FALSE	0.931	0.592	1.154	0.081	0	0	0	0
hsa-miR-496	5.76519195587024	0.452975646491828	0.44792723888095	1.01127059748251	0.311886934598654	1	_16_vs_former	FALSE	5.66	5.408	7.812	2.932	1.466	1.506	2.037	1.311
hsa-miR-496-5p:Novel	4.88741322284017	-0.112626203919156	0.294795666328201	-0.382048370391469	0.702425486598759	1	_16_vs_former	FALSE	4.357	4.893	4.805	8.447	2.959	2.936	3.378	1.63
hsa-miR-497-3p	2.04939625330183	0.12093249796804	0.378729290938392	0.31931118311024	0.749490553320787	1	_16_vs_former	FALSE	1.862	2.213	3.013	0.377	0	0	0.597	0
hsa-miR-497-5p	0.753710602844405	0.128394239263641	0.566061386947408	0.22682034532691	0.820563442698246	1	_16_vs_former	FALSE	0.652	0.727	1.045	0.981	0	0	0	0
hsa-miR-498-3p	2.21341702686882	-0.170541545316853	0.373066049687067	-0.457134991136034	0.647574021110524	1	_16_vs_former	FALSE	2.302	2.013	2.101	2.26	1.375	1.371	1.195	0.872
hsa-miR-498-5p	4.85167989018566	-0.325983796650626	0.533467956453656	-0.611065374605954	0.541156301552133	1	_16_vs_former	FALSE	4.098	4.736	8.477	3.258	1.23	1.207	1.47	1.152
hsa-miR-4999-3p	0.937745671938461	0.0323210258327728	0.784017740311017	0.041224865421988	0.967116630779269	1	_16_vs_former	FALSE	0.965	0.871	1.148	0.418	0	0	0	0
hsa-miR-4999-5p	0.525977501174526	-0.493949135111924	0.665137503412545	-0.742627099776626	0.457707476794598	1	_16_vs_former	FALSE	0.36	0.246	0.324	3.619	0	0	0	0
hsa-miR-499a-3p	1.11543764529589	0.523420175086459	0.575774166216598	0.909072003917516	0.363312119356272	1	_16_vs_former	FALSE	0.558	1.051	3.179	1.583	0	0.142	0	0.169
hsa-miR-499a-5p	1.29698670074879	0.125858583838454	0.433955015820947	0.290026798285434	0.771795736212617	1	_16_vs_former	FALSE	1.397	0.796	1.256	2.785	0.646	0.296	0.504	1.204
hsa-miR-499b-3p	2.34029929394772	0.298734732733835	0.430811987823218	0.693422516497893	0.488044435837993	1	_16_vs_former	FALSE	2.532	2.062	2.891	0.517	1.17	0.834	1.261	0.261
hsa-miR-499b-5p	11.1694479226615	0.188867627702747	0.370524865409377	0.509729967769032	0.61024065501488	1	_16_vs_former	FALSE	11.768	6.966	14.996	17.084	4.352	2.898	2.792	3.027
hsa-miR-5000-3p	0.693653050843347	-0.711155851718054	0.693341342332092	-1.02569370712273	0.305035981509345	1	_16_vs_former	FALSE	0.906	0.387	0.286	1.15	0	0	0	0.225
hsa-miR-5000-5p	0.841957337644127	-0.203348967390681	0.486653924985101	-0.417851283942499	0.676055852533162	1	_16_vs_former	FALSE	0.879	0.905	0.783	0.17	0.247	0	0	0
hsa-miR-5001-3p	2.20293016292449	-0.60497207616147	0.687404429259277	-0.880081725416531	0.378815038203617	1	_16_vs_former	FALSE	2.382	2.251	1.997	0.449	0	0	0	0
hsa-miR-5001-5p	49.7382263010433	0.0646993053884329	0.252484918525266	0.256250178293158	0.797757665031515	1	_16_vs_former	FALSE	54.131	42.305	49.209	41.209	39.623	33.881	26.777	32.67
hsa-miR-5002-3p	6.34738263586524	0.703893016746515	0.38134918375965	1.84579657364667	0.0649217483022768	0.878254374312022	_16_vs_former	FALSE	6.972	4.97	8.846	1.571	4.438	2.656	3.737	0.971
hsa-miR-5002-5p	0.550416181297012	-0.0391785316832603	0.514983859499576	-0.0760772031211447	0.939357676843123	1	_16_vs_former	FALSE	0.499	0.456	0.598	1.243	0	0	0	0.049
hsa-miR-5003-3p	5.39974133289351	-0.322415958372617	0.346064473408956	-0.931664424251971	0.351509977399609	1	_16_vs_former	FALSE	5.102	5.208	4.077	10.477	3.674	3.318	2.988	3.007
hsa-miR-5003-5p	0.612076572781897	0.773170568325784	0.649772835745936	1.18990903557578	0.234082146729368	1	_16_vs_former	FALSE	0.528	0.455	1.448	0.241	0	0	0	0
hsa-miR-5004-3p	0.697692090010759	-0.517959052071856	0.473601623303026	-1.09365979039402	0.274104215658302	1	_16_vs_former	FALSE	0.748	0.757	0.457	0.337	0.082	0	0	0
hsa-miR-5004-5p	2.0354914986535	0.459807929010604	0.409514549710117	1.12281219149866	0.261517266440457	1	_16_vs_former	FALSE	1.469	1.462	2.525	8.219	0.893	0.705	1.511	2.788
hsa-miR-5006-3p	1.55294012922595	-0.0300225185295036	0.744505125974863	-0.04032546920371	0.967833648801709	1	_16_vs_former	FALSE	1.773	1.182	1.114	2.167	0	0	0	0
hsa-miR-5006-5p	41.4181597938164	-0.149302297879001	0.266975627942328	-0.559235683907646	0.576000882801976	1	_16_vs_former	FALSE	40.669	43.141	46.205	20.59	19.316	15.469	19.399	15.47
hsa-miR-5007-3p	0.0420792156760522	-0.211230173398916	3.33190585967558	-0.0633962009417284	0.949451012377244	1	_16_vs_former	FALSE	0.045	0.026	0.068	0.032	0	0	0	0
hsa-miR-5007-5p	0.711565497480287	0.0141153874760028	0.500492295027691	0.0282030065522223	0.97750023929749	1	_16_vs_former	FALSE	0.715	0.559	0.827	1.066	0	0	0.679	0.279
hsa-miR-5008-3p	0.193172527824961	-0.624656729455405	1.01160702965849	-0.617489510394448	0.536911898005706	1	_16_vs_former	FALSE	0.167	0.163	0.099	0.717	0	0	0	0
hsa-miR-5008-5p	1.39795726564935	0.157253988842795	0.493921741023655	0.318378349810813	0.750197958880108	1	_16_vs_former	FALSE	1.47	1.197	1.671	0.95	0.544	0.344	0.396	0.588
hsa-miR-5009-3p	0.382843308829109	0.188709418441511	0.832462976840194	0.226688061441245	0.820666311064619	1	_16_vs_former	FALSE	0.409	0.192	0.693	0.401	0	0	0	0
hsa-miR-5009-5p	2.45157017634442	0.0768282235958672	0.499110581804578	0.153930263946895	0.877664721302124	1	_16_vs_former	FALSE	2.719	1.341	1.456	7.33	0.745	0.827	0.698	0.58
hsa-miR-500a-3p	3.03923130003722	-0.387072553515523	0.476140385852773	-0.812937875081258	0.41625367778509	1	_16_vs_former	FALSE	2.926	2.631	2.411	6.723	0.787	1.214	0.872	0.763
hsa-miR-500a-5p	4.21666973558613	0.324128685063084	0.451280762713532	0.718241750687781	0.47260823905022	1	_16_vs_former	FALSE	4.146	3.327	6.381	3.928	1.425	1.309	1.918	1.636
hsa-miR-500b-3p	0.601776322161671	-0.189177310647954	0.660752641524896	-0.286305795480995	0.774643919688152	1	_16_vs_former	FALSE	0.516	0.563	0.776	1.029	0	0	0	0
hsa-miR-500b-5p	3.88178779588278	0.255153390229781	0.466326239569908	0.547156408065539	0.584271281677827	1	_16_vs_former	FALSE	3.982	2.98	5.809	2.79	1.323	1.226	1.881	1.384
hsa-miR-501-3p	48.586454461937	-0.199044312024696	0.176713936753081	-1.12636453967304	0.26001124986903	1	_16_vs_former	FALSE	49.402	47.726	45.262	42.938	41.624	36.749	49.551	35.465
hsa-miR-501-5p	0.827726664443463	-0.390892875011783	0.580857604390851	-0.672958177799384	0.500973898219805	1	_16_vs_former	FALSE	0.718	0.886	0.927	1.085	0	0	0.289	0
hsa-miR-5010-3p	0.984583285879706	1.08931411360639	0.550763677960597	1.97782489513464	0.0479484639945077	0.828996349203237	_16_vs_former	FALSE	0.618	0.831	2.397	1.694	0	0	0.139	0.371
hsa-miR-5010-5p	10.9473237724421	-0.0143009249861914	0.346607008171441	-0.0412597686978035	0.967088805668707	1	_16_vs_former	FALSE	10.978	10.169	10.985	12.285	5.943	5.014	5.501	5.15
