miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-5691-3p:Novel	-0.0511	0.4383	0.875169811320755	-0.0554	0.4007	0.814852682926829	0.1175
hsa-miR-5698	0.0058	0.93	0.984998657718121	0.0409	0.5354	0.814852682926829	0.1109
hsa-miR-5706-3p:Novel	0.036	0.5855	0.886776699029126	0.0531	0.4211	0.814852682926829	0.093
hsa-miR-572	-0.1069	0.1042	0.657	-0.0602	0.3611	0.814852682926829	0.1105
hsa-miR-584-5p	0.0914	0.1654	0.721816216216216	0.0315	0.6333	0.859476543209877	0.0969
hsa-miR-595-5p:Novel	-0.0761	0.248	0.813577142857143	-0.069	0.2956	0.814852682926829	0.1312
hsa-miR-598-5p	0.0433	0.512	0.880296585365854	0.0907	0.1688	0.752365714285714	0.1762
hsa-miR-599	-0.06	0.3629	0.842168888888889	-0.047	0.4758	0.814852682926829	0.112
hsa-miR-6068-3p:Novel	0.0207	0.7542	0.964386885245902	-0.0554	0.4007	0.814852682926829	0.1079
hsa-miR-6069-3p:Novel	0.0931	0.1577	0.711805714285714	0.0785	0.2336	0.787045161290323	0.1365
hsa-miR-607	-0.0315	0.6336	0.9152	-0.0284	0.6675	0.859476543209877	0.1054
hsa-miR-607-5p:Novel	-0.0381	0.5637	0.880296585365854	-0.0625	0.343	0.814852682926829	0.115
hsa-miR-6070-3p:Novel	-0.1496	0.0226	0.509925	-0.0213	0.7465	0.882227272727273	0.1217
hsa-miR-6071	-0.0413	0.5318	0.880296585365854	0.0375	0.5698	0.833652336448598	0.1052
hsa-miR-6075	0.0192	0.7707	0.968351291512915	-0.0267	0.6862	0.875510204081633	0.097
hsa-miR-608-3p:Novel	-0.1349	0.0401	0.509925	-0.0533	0.419	0.814852682926829	0.1722
hsa-miR-6081	-0.1182	0.0723	0.56394	-0.0948	0.1501	0.7368	0.1274
hsa-miR-6083	0.0367	0.578	0.880296585365854	-0.0481	0.4663	0.814852682926829	0.1105
hsa-miR-6084-5p:Novel	-0.0826	0.2101	0.79940487804878	-0.0612	0.3531	0.814852682926829	0.1092
hsa-miR-6085	-0.0016	0.9801	0.996062540716612	0.0755	0.2518	0.801648979591837	0.1373
hsa-miR-6089	-0.0018	0.9784	0.996062540716612	0.085	0.1972	0.787045161290323	0.1281
hsa-miR-6124-3p:Novel	0.0396	0.5486	0.880296585365854	0.0476	0.4708	0.814852682926829	0.1386
hsa-miR-6125	0.0427	0.5173	0.880296585365854	0.01	0.8791	0.944547945205479	0.1267
hsa-miR-6125-5p:Novel	0.0422	0.5223	0.880296585365854	0.0413	0.5312	0.814852682926829	0.0997
hsa-miR-6126-3p:Novel	-0.0036	0.9566	0.988170491803279	-0.0114	0.8628	0.944538947368421	0.1221
hsa-miR-6127	-0.0109	0.8683	0.977087323943662	0.1173	0.0746	0.559371428571429	0.1504
hsa-miR-6127-3p:Novel	0.0308	0.6404	0.916965137614679	0.0696	0.2914	0.814852682926829	0.1382
hsa-miR-6130	-0.0674	0.3063	0.829708474576271	-0.0799	0.2257	0.787045161290323	0.1201
hsa-miR-6131	6e-04	0.993	0.9978	-0.0468	0.4786	0.814852682926829	0.095
hsa-miR-6131-5p:Novel	5e-04	0.9939	0.9978	-0.0417	0.5275	0.814852682926829	0.0875
hsa-miR-6165-3p:Novel	-0.0964	0.1432	0.661623529411765	-0.1281	0.0514	0.471670588235294	0.1671
hsa-miR-617-3p:Novel	0.0222	0.7364	0.962962962962963	-0.0219	0.7405	0.88000608365019	0.0776
hsa-miR-622	-0.0332	0.6144	0.904947169811321	-0.0515	0.4346	0.814852682926829	0.0948
hsa-miR-636	0.1435	0.0289	0.509925	0.2363	3e-04	0.026	0.2679
hsa-miR-638	-0.1366	0.0376	0.509925	-0.0658	0.3187	0.814852682926829	0.1032
hsa-miR-638-3p:Novel	-0.0624	0.3441	0.842168888888889	0.0175	0.7909	0.900586861313869	0.1021
hsa-miR-639	0.1301	0.0478	0.509925	0.156	0.0174	0.27144	0.2518
hsa-miR-641-3p:Novel	0.1719	0.0087	0.381333333333333	0.2298	4e-04	0.026	0.2751
hsa-miR-645	-0.1221	0.0633	0.5486	-0.0605	0.3587	0.814852682926829	0.0898
hsa-miR-646	-0.1353	0.0395	0.509925	-0.0096	0.884	0.944547945205479	0.1089
hsa-miR-647-3p:Novel	0.0183	0.7818	0.968351291512915	-0.0239	0.7176	0.88000608365019	0.1064
hsa-miR-650	0.0692	0.2939	0.829708474576271	0.0744	0.2588	0.813577142857143	0.1209
hsa-miR-6509-5p	-0.0374	0.5713	0.880296585365854	-0.0701	0.2873	0.814852682926829	0.1107
hsa-miR-6511a-3p	-0.0757	0.2507	0.813577142857143	-0.0429	0.5158	0.814852682926829	0.0908
hsa-miR-655-5p	0.0558	0.3975	0.856386206896552	0.0529	0.4225	0.814852682926829	0.1181
hsa-miR-657-5p:Novel	0.0692	0.294	0.829708474576271	0.0475	0.472	0.814852682926829	0.1191
hsa-miR-663a-3p:Novel	0.0058	0.9302	0.984998657718121	-0.0981	0.1364	0.7368	0.1284
hsa-miR-6717-3p:Novel	0.0092	0.8894	0.977087323943662	-0.0584	0.3759	0.814852682926829	0.0906
hsa-miR-6717-5p	-0.0508	0.4408	0.875169811320755	-0.0653	0.3223	0.814852682926829	0.1093
hsa-miR-6721-3p:Novel	-0.0098	0.8825	0.977087323943662	-0.0524	0.4274	0.814852682926829	0.1006
hsa-miR-6724-3p:Novel	-0.0374	0.5711	0.880296585365854	0.0025	0.9703	0.981692903225806	0.0989
