ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4719	0.455342168139936	0.854159587597914	0	0	-1.1455708759519	0.195864271601632	NA	NO_vs_YES	NA
hsa-miR-4719-5p:Novel	0.548533467686226	0.403084422434559	0	0	0.214546196155649	0.781793446065325	NA	NO_vs_YES	NA
hsa-miR-4720-3p	2.84525542593519	2.7407067103292	0.908042605005857	0.785610022046814	0.189472618360996	0.673268966764914	NA	NO_vs_YES	NA
hsa-miR-4720-5p	0.38872208550103	0.437476496673234	0	0	0.150102838444121	0.881405089123746	NA	NO_vs_YES	NA
hsa-miR-4721	11.0712523610301	16.6635385398779	6.63009493980473	7.15478489154863	-0.0979334358257113	0.812781591873847	0.913575087436039	NO_vs_YES	FALSE
hsa-miR-4721-5p:Novel	4.39919417042982	4.10380168130635	3.00866275315157	2.64880794738119	-0.286596722354326	0.4833610770853	NA	NO_vs_YES	NA
hsa-miR-4722-3p	0.268688548718205	0.187373680637215	0	0	-0.630302125721328	0.650084428983073	NA	NO_vs_YES	NA
hsa-miR-4722-5p	5.07588698415526	3.43561938404022	1.75941343498338	1.40315626108451	0.930336541574844	0.0832271929543936	NA	NO_vs_YES	NA
hsa-miR-4723-3p	12.5767996602638	7.19948837324186	4.70564768644131	3.01152759175301	0.849484549086869	0.13265729139223	NA	NO_vs_YES	NA
hsa-miR-4723-5p	1.46611479298253	2.25612401750763	0.979674529555481	1.17421815761906	-0.29874499208376	0.515988295853565	NA	NO_vs_YES	NA
hsa-miR-4724-3p	3.32378961323171	3.36943882397715	1.57953153965778	2.46099746718782	-0.0243042249820603	0.949498764518428	NA	NO_vs_YES	NA
hsa-miR-4724-5p	12.705746112068	19.7529620972054	1.46770373509087	2.65178835468622	-1.13590236806864	0.06834905331371	0.264022319590812	NO_vs_YES	FALSE
hsa-miR-4725-3p	22.0935074891034	24.4308925197936	6.39287197071282	6.9925962326099	-0.00273013747623007	0.995860184107469	0.995970438452957	NO_vs_YES	FALSE
hsa-miR-4725-5p	29.7627394914883	25.8370925246992	14.2899491110051	14.9588763299941	-0.133935616757746	0.768482680081157	0.892224744017208	NO_vs_YES	FALSE
hsa-miR-4726-3p	0.250765191111626	0.37484035768924	0	0	-0.26488575778341	0.799901224608083	NA	NO_vs_YES	NA
hsa-miR-4726-5p	7.92643541525097	6.38583873196263	1.6296989253389	1.92364027838367	-0.419059597864992	0.459713797084545	NA	NO_vs_YES	NA
hsa-miR-4727-3p	3.97505126339452	3.65666019312683	1.75888539389094	2.23745800471152	-0.400048271966906	0.337422015187148	NA	NO_vs_YES	NA
hsa-miR-4727-5p	0.16225590218762	0.211270768976508	0	0	-0.852825894053545	0.612283722667479	NA	NO_vs_YES	NA
hsa-miR-4728-3p	8.47687887258927	9.68833085957845	3.38325119988453	3.25352972745327	-1.04979404230317	0.0765567368936029	NA	NO_vs_YES	NA
hsa-miR-4728-5p	2.85938391734707	5.89508736855942	1.20892096545	2.65906748550994	-0.931288933200572	0.0355213083956945	NA	NO_vs_YES	NA
hsa-miR-4729	0.726600444334685	1.03677421686274	0.425356642011259	0.143345546085509	-0.415964720547793	0.486153299622841	NA	NO_vs_YES	NA
hsa-miR-4729-3p:Novel	1.78058549566127	2.36337577302138	1.16331148185464	1.35896024022764	-0.392741450391465	0.350537169326397	NA	NO_vs_YES	NA
hsa-miR-4730	2.31834231649412	2.22373009595083	1.6296989253389	1.06250062542399	0.311954064022004	0.491521341171743	NA	NO_vs_YES	NA
hsa-miR-4730-3p:Novel	3.53161446782611	3.37099538344109	2.2019136376832	2.46099746718782	-0.549167603538877	0.14911324860517	NA	NO_vs_YES	NA
hsa-miR-4731-3p	0.205011145507189	0.392895775195488	0	0	-1.79607155362693	0.077113127154223	NA	NO_vs_YES	NA
hsa-miR-4731-5p	0.432373845508486	3.13315029507094	0	0	-1.74449368341709	0.0281735454620371	NA	NO_vs_YES	NA
hsa-miR-4732-3p	0.649000982013693	0.587481098759868	0	0	0.731427070406178	0.483137114792544	NA	NO_vs_YES	NA
