ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	a.drinker.x	a.no_drinker.x	a.drinker.y	a.no_drinker.y
hsa-miR-198-3p:Novel	1.48449907127871	0.209398157307776	0.476616703502464	0.439342884479275	0.660413105000079	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.472	1.627	0.686	1.279
hsa-miR-199a-3p, hsa-miR-199b-3p	36.5834305116472	0.222308770000848	0.324425570787092	0.685238125532162	0.493193669171434	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	33.639	69.593	19.894	23.869
hsa-miR-199a-5p	5.0760669657878	-0.446122156772797	0.479086976741505	-0.931192410628823	0.351754043000554	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.091	27.325	1.589	1.245
hsa-miR-199b-5p	0.459234487402753	0.67152563874539	0.920356719740526	0.729636264224497	0.465612549363527	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.483	0.194	0	0
hsa-miR-19a-3p	2.80104790918278	0.413583417918348	0.425284263768198	0.972487000233265	0.330808329011251	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.875	1.97	1.685	0.912
hsa-miR-19a-5p	0.316564735101199	-1.24771950623928	0.881346450095641	-1.41569697830392	0.156864243472068	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.291	0.605	0	0
hsa-miR-19b-3p	3.502874040669	0.664637968594903	0.436890986575886	1.52129018225799	0.128187032900252	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.61	2.307	2.226	1.577
hsa-miR-19b-5p	1.27931528306264	0.891498136727573	0.582197125028993	1.53126509630767	0.125703888179878	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.331	0.703	0.419	0
hsa-miR-200a-3p	88.9301496559487	0.204134861226206	0.464985992039989	0.43901292667038	0.660652169842366	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	55.699	461.465	14.657	17.401
hsa-miR-200a-5p	6.09066466894645	0.365549299946796	0.584061794775873	0.625874356474679	0.531397355606012	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	4.231	26.94	0.874	1.006
hsa-miR-200b-3p	167.235143518842	0.723452847032542	0.504859103063916	1.43297970194459	0.151863638169015	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	107.701	834.649	14.659	14.338
hsa-miR-200b-5p	5.29817114149381	0.527513989611968	0.588809284814274	0.895899577701734	0.370306399736246	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.002	31.038	0.838	0.663
hsa-miR-200c-3p	178.750743855921	0.017538792558729	0.53315395986126	0.0328962999042398	0.973757283449204	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	82.477	1258.027	11.785	13.93
hsa-miR-200c-5p	3.17698909449701	-0.991950954742243	0.46696668635504	-2.12424351399674	0.0336497863367348	0.944907709875086	a.drinker_vs_a.no_drinker	FALSE	1.679	19.975	0.986	1.245
hsa-miR-202-3p	9.97549702522004	-0.497229360807817	0.37229480822158	-1.33557962621891	0.181686713064387	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	9.596	14.232	5.601	8.952
hsa-miR-202-5p	0.689735716890462	0.050088744496445	0.604059280228416	0.0829202466312655	0.93391495499638	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.634	1.314	0	0
hsa-miR-203a-3p	12.6215031280467	0.79163483210461	0.491828552078417	1.60957477714387	0.10749071827951	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	11.872	21.024	3.909	3.735
hsa-miR-203a-5p	10.964434817158	-0.746868297279574	0.30080234250587	-2.4829204821269	0.0130310172834327	0.766877356138272	a.drinker_vs_a.no_drinker	FALSE	8.154	42.471	6.694	7.071
hsa-miR-203b-3p	1.00894866483429	-0.142656550839948	0.50739084300189	-0.281157125335461	0.778589887767074	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.987	1.254	0.294	0.791
hsa-miR-203b-5p	0.837936160593126	-1.01191479564347	0.734631114542612	-1.37744614352946	0.168374354887652	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.745	1.882	0	0
hsa-miR-204-3p	7.32829033656684	0.651052791947262	0.345811047333487	1.88268361282111	0.0597432575338292	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	7.35	7.086	4.201	4.183
hsa-miR-204-5p	0.85583011279911	-0.0337479813800891	0.650369995457994	-0.0518904340848683	0.958615996502775	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.579	3.957	0	0
hsa-miR-205-3p	1.23007121006014	0.0804362984842534	0.479805710585356	0.167643478828383	0.866863764065372	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.243	1.088	0.493	1.21
hsa-miR-205-5p	2.27519908419613	0.971164526441566	0.53025647257619	1.83149961701227	0.0670260048166868	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.361	1.317	1.158	1.245
hsa-miR-2052	0.697185207627264	-0.294329187714904	0.864254655016361	-0.340558406028292	0.733436046624853	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.668	1.027	0	0
hsa-miR-2052-3p:Novel	1.22100776167336	-0.572257054494784	0.696065407623722	-0.822131150646312	0.411002258187524	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.11	2.463	0	0.228
hsa-miR-2053	5.87094076954882	-0.379098369697517	0.360526412227235	-1.05151344489728	0.293022837694802	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	5.302	12.25	3.722	4.766
hsa-miR-2053-5p:Novel	0.169389320666776	0.187600657058248	1.43821916536427	0.130439547445978	0.896218679514719	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.175	0.105	0	0
hsa-miR-2054	0.131126001042445	0.150870136275752	3.00290039354975	0.050241472078069	0.959929963326898	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.142	0.008	0	0
hsa-miR-2054-3p:Novel	0.162631588366741	-0.240949838665266	1.29646321502214	-0.185851658476211	0.852561092569581	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.156	0.232	0	0
hsa-miR-206	2.64559021694267	-0.411501346495774	0.361106942456205	-1.13955534528578	0.254471598161354	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.54	3.834	1.753	2.652
hsa-miR-206-5p:Novel	19.3666976495029	0.304440769806694	0.40924276827383	0.743912399700582	0.456929473289013	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	19.485	18.038	5.976	12.655
hsa-miR-208a-3p	0.239985453827386	0.0735743043048548	0.940124030182421	0.0782602102943571	0.937621067934017	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.251	0.116	0	0
hsa-miR-208a-5p	1.80723648641286	-0.989609206583898	0.640153637098989	-1.54589328128877	0.122130343455687	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.714	2.852	0	0.449
hsa-miR-208b-3p	0.861502293930625	-0.217006360620658	0.702412093094735	-0.308944510998602	0.75736373700627	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.873	0.736	0	0
hsa-miR-208b-5p	0.707286442770003	-0.175876605888177	0.647348163798451	-0.271687811480277	0.785862073927411	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.643	1.428	0	0
hsa-miR-20a-3p	0.0574096427032943	-0.490947164085997	2.76013828452428	-0.177870495416361	0.85882468256889	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.056	0.075	0	0
hsa-miR-20a-5p	9.72858439320593	0.94610801625821	0.977333209974325	0.968050616312388	NA	NA	a.drinker_vs_a.no_drinker	NA	8.231	26.522	0	0
hsa-miR-20b-3p	0.78585105255297	-0.337519970628974	0.786951132924231	-0.428895717291599	0.667999117053813	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.794	0.692	0	0
hsa-miR-20b-5p	1.41233662237446	0.516495996398957	0.870992684255581	0.592996939854202	0.55318320022233	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.459	0.884	0	0
hsa-miR-21-3p	1.12346518847193	-1.09436681382248	0.636046506243678	-1.72057672368254	0.085327660220301	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.901	3.613	0	0
hsa-miR-21-5p	320.318767078528	0.210074547180311	0.501483914819897	0.418905853153349	0.675284939224286	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	233.174	1297.257	36.762	57.04
hsa-miR-210-3p	9.47458979519564	-0.158541027417816	0.411525405289629	-0.385252102008709	0.700050644877553	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	5.686	51.942	2.598	4.026
hsa-miR-210-5p	0.222776384721835	-0.318911327491113	0.989783369917033	-0.322203157967633	0.747298792247101	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.212	0.348	0	0
hsa-miR-211-3p	4.51615130138354	0.0112254729695052	0.465789455791894	0.0240998863970003	0.980772933939237	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	4.443	5.341	1.939	2.788
hsa-miR-211-5p	0.667993158781237	0.369342754370486	0.664951280514563	0.555443331253796	0.578591461147974	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.691	0.411	0	0
hsa-miR-2110	165.408200417687	-0.170879339540006	0.458852064578429	-0.372406169071075	0.709590461465917	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	161.985	203.789	63.56	72.558
hsa-miR-2110-3p:Novel	39.0032362070154	0.322753285475927	0.355858536293598	0.906970755394896	0.364422262432762	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	39.786	30.232	19.012	17.91
hsa-miR-2113	6.31081205811099	-1.64491015829792	0.562093594648374	-2.92639904449884	0.00342910780938871	0.373129793509109	a.drinker_vs_a.no_drinker	FALSE	4.925	21.843	1.624	1.797
hsa-miR-2113-5p:Novel	26.2591531501483	0.0724167781511508	0.479029949080145	0.151173800907874	0.879838616601399	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	26.585	22.602	6.852	10.991
hsa-miR-2114-3p	1.27212899959906	-0.0824831842942099	0.557096930480036	-0.148058945905762	0.882296248701432	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.148	2.663	0.344	0
hsa-miR-2114-5p	33.5005150201355	-0.0366669850024033	0.411473150062312	-0.0891114887978733	0.928993306980656	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	33.191	36.976	18.521	14.821
hsa-miR-2115-3p	7.93403263120374	-0.322977125889212	0.503028777342797	-0.642064908483584	0.520831039344642	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	7.69	10.664	2.749	1.665
hsa-miR-2115-5p	0.586126077556621	-0.695313068647531	0.600571320190397	-1.15775270192239	0.246964970150667	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.468	1.91	0	0
hsa-miR-2116-3p	0.24304300440881	-0.213328735657373	0.967404086877677	-0.220516678140049	0.825468784770755	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.248	0.188	0	0
hsa-miR-2116-5p	2.00104056077966	0.791473988914557	0.488653796328074	1.61970293664346	0.105296105083125	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.041	1.557	0.832	1.303
hsa-miR-2117	2.08427647550751	-0.283623676176011	0.428687241330405	-0.661609791081727	0.508221331001523	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.012	2.895	1.172	2.373
hsa-miR-2117-5p:Novel	2.23635524444818	0.534471016115334	0.507300539893232	1.05355893417306	0.292084898853663	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.273	1.824	0.915	1.279
hsa-miR-212-3p	0.190110608471865	-0.179644430920989	1.1313687740772	-0.158785035469549	0.873838239190311	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.191	0.183	0	0
hsa-miR-212-5p	0.793672494682036	-0.507382739408122	0.520922477637498	-0.974008151288112	0.330052491953719	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.567	3.333	0	0
hsa-miR-214-3p	0.813428317396885	0.867018778931928	0.66956043533034	1.29490742460637	0.195352166937835	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.765	1.356	0	0
hsa-miR-214-5p	0.317970077631824	-0.375790857699631	0.787182696030282	-0.477387091452497	0.633086504484426	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.245	1.14	0	0
hsa-miR-215-3p	2.21699488846253	-1.26927226572161	0.662687936649842	-1.91533932568367	0.0554492434727943	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.766	18.486	0	0.999
hsa-miR-215-5p	406.765194128146	0.266399490272691	0.574723687321616	0.4635262059829	NA	NA	a.drinker_vs_a.no_drinker	NA	129.625	3513.656	9.148	9.95
